,density,nelements,Unit Cell Mass,energysStab,atomMean,transition,metalloid,other,FirstIonizationEnergy wmean,ICSDVolum wmean,Electronegativity wmean,BulkModulus wstd,GSenergy_p wmean,GSenergy_p wstd,BoilingT wstd,BCCfermi wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,BCCenergy_p wstd,MiracleRadius wstd,n_ws^third wmean,AtomicVolum wmean,MendeleevNumber wmean,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,MeltingT wstd,CovalentRadius wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wstd,phi wmean,Row wstd,meanbv,Coordination,numberDensity,li-ion fittability,oxidation flexibility,avgIonicRadVol,AtomicNum Density,oxidation flexibility Std,chargedensityvoldens
"mp-300850944, Li10Co4O9, Li21(Co4O9)2, mp-773128, mp-850944",3.0920595486969886,3.0,898.27476,0.04133021920289792,9.130434782608695,1.0,0.0,3.0,3.0145460869565217,6.0437681159420285,0.6997101449275362,13.768878697407095,-1.3019065626811592,0.43088707938209897,286.3003064871639,0.4917025386230082,0.0,0.0,0.6632753623188407,0.6429263764707874,0.16613378895278008,20.17208054312577,0.2434782608695653,2428.828964086026,14.855072463768115,1.4026086956521735,1.1172129784958058,0.13043478260869565,117.79216862104118,15.06739045052088,0.2608695652173913,0.3060593370289855,0.12694892591212414,0.7086956521739131,0.07099970268936748,-0.11776228988034484,5.043478260869565,0.09535586818297803,8.42082400481032,2.608695652173913,0.5292388592183683,9.130434782608695,2.3909090582378303,0.8450351262239991
"mp-300850944, Li17(Co4O9)2, Li10Co4O9, mp-763627, mp-773128",3.0676765506516785,3.0,877.4517599999997,0.08571153379844976,9.55813953488372,1.0,0.0,3.0,3.0994744418604654,5.962403100775193,0.7257364341085272,14.867922008858088,-1.3492515110077519,0.511609232315435,273.6060016241459,0.5334336743134239,0.0,0.0,0.6262480620155039,0.5723334042579284,0.22912657076045398,16.59491314708315,0.2376744186046512,2597.7811230204034,15.868217054263567,1.4306976744186046,1.2053236876439757,0.13953488372093026,124.93064883252342,11.940923830230044,0.2790697674418605,0.3273111017054264,0.13580582771994676,0.691860465116279,0.03797658515942914,-0.10885274232302508,4.674418604651163,0.09053275016250492,8.456157390348753,2.7906976744186047,0.5411549355476613,9.55813953488372,2.3679854997875083,0.8398755883280606
"mp-300850945, Li5NiO4, Li47(NiO4)8, mp-771876, mp-850945",2.741982130862349,3.0,1259.1680000000001,0.0055152927500010645,7.5,1.0,0.0,3.0,2.9690198333333337,6.281666666666666,0.6856666666666668,7.531415685130002,-1.1307642246666667,0.567504568981001,318.6802464331083,0.4618786837080942,0.0,0.0,0.7342,0.7588015287280331,0.1964716475487857,27.342925146288856,0.22166666666666668,2482.915008026623,13.800000000000002,1.112,0.7311215129283687,0.13333333333333333,86.71786439687935,21.787662155959325,0.26666666666666666,0.3105702453333334,0.02806717532350201,0.6483333333333333,0.2494438257849294,-0.1735056841462789,5.3,0.10491120363305577,10.078985455555557,2.1,0.4703855811720263,7.5,2.118962010041709,0.7636933549010609
"mp-300850945, Li9(NiO4)2, Li5NiO4, mp-775731, mp-771876",2.6021028469454994,3.0,1231.404,0.07407045013157898,7.736842105263157,1.0,0.0,3.0,3.0306924736842102,6.232807017543857,0.7045614035087718,7.9920320430592175,-1.1574730977192982,0.6103532841897943,298.45336009199167,0.4905502118278797,0.0,0.0,0.71,0.711384292902483,0.1927616570434164,25.09319042293593,0.21614035087719294,2613.216779359956,14.50877192982456,1.1178947368421053,0.7448725311885908,0.14035087719298245,83.74127680245131,19.8872785301972,0.2807017543859649,0.32683969456140355,0.02954439507737053,0.6324561403508772,0.2273944104704512,-0.2071263032885384,5.052631578947368,0.0967137962581559,10.153582,2.2105263157894743,0.501615013158779,7.736842105263157,2.11707214327566,0.7262531736356105
"mp-300850951, Li2MnV(P2O7)2, Li3MnV(P2O7)2, mp-850939, mp-850951",2.857717707126505,5.0,467.648193,0.002999941003787754,10.272727272727273,2.0,0.0,5.0,2.3414827999999996,3.5303636363636364,0.5641818181818181,2.763157853310964,-0.9990611145485454,1.0486832544506424,38.35003360736403,0.8282680157587011,0.0,0.0,0.21872727272727274,0.21383010364104604,0.4950096597484494,12.771041622836854,0.10736363636363637,2367.934204881496,15.0,1.0695454545454546,1.1863210720333734,0.16363636363636366,22.83949188475346,13.224476430449116,0.3636363636363637,0.3198846750030909,5.638557993727273e-06,0.3327272727272727,0.4240692287160219,0.16449197987115804,4.227272727272728,0.08096059415135043,5.400007924041362,4.727272727272728,0.5179087272884756,10.272727272727273,2.3775812419312765,0.8072263382786018
"mp-300850951, LiMnV(P2O7)2, Li2MnV(P2O7)2, mp-766110, mp-850939",2.9043197775632565,5.0,921.414386,0.009283953571427972,10.619047619047619,2.0,0.0,5.0,2.401632276190476,3.4924761904761903,0.5817142857142856,2.9823365111535685,-1.0288270065746667,1.1131804745764142,39.43804284675859,0.8699856403066833,0.0,0.0,0.1950285714285714,0.21724440941952056,0.5377352942229499,14.040873279428869,0.10314285714285712,2480.4877950369964,15.704761904761904,1.0919047619047622,1.2631504363864623,0.17142857142857146,28.648731792598834,14.569828732591612,0.3809523809523809,0.3350758297175238,5.907060755333333e-06,0.3214285714285713,0.4587274125254208,0.16422828084042573,4.190476190476192,0.07972410908190307,7.9386018269799425,4.9523809523809526,0.5142581866583931,10.619047619047619,2.1925456063278737,0.8216959031650702
"mp-300850951, MnV(P2O7)2, LiMnV(P2O7)2, mp-774043, mp-766110",2.9014881720760783,4.0,453.766193,0.02019090099999765,11.0,2.0,0.0,4.0,3.084745875,4.3135,0.75125,3.13169283295792,-1.32696185975425,1.1846703314652267,43.089324881575955,0.8674849926419557,0.0,0.0,0.2112,0.2546266114332907,0.5219439372696036,15.581138437225947,0.123125,3255.370930260059,20.6,1.395625,1.374245128015741,0.225,25.49516915025277,15.890366578528011,0.5,0.43973262487925,6.714309887009499e-06,0.38625,0.4898979485566355,0.17901394421419184,4.2,0.07701398646877468,5.3607482969827265,5.2,0.5190675020980192,11.0,1.9390719429665315,0.8222391817114817
"mp-300850954, Li4CoO4, Li9(CoO4)2, mp-763322, mp-776979",2.5466433688745176,3.0,1205.55836,0.053039580064814906,7.888888888888887,1.0,0.0,3.0,3.1081513333333333,6.188148148148147,0.7244444444444444,8.51304171766438,-1.2439668298148148,0.6155644366223765,276.9024438352259,0.517012013321114,0.0,0.0,0.6822592592592592,0.6599704715512777,0.13885330774320614,22.660916724095827,0.21,2757.998546628157,15.185185185185185,1.077037037037037,0.7181717376218537,0.14814814814814814,82.37539662256127,17.744722355330442,0.2962962962962963,0.3446619361111111,0.08110625822163486,0.6111111111111109,0.2095131203515697,-0.1983626306477184,4.583333333333333,0.09159322035383577,10.158770426701938,2.4444444444444446,0.5152574958448121,7.888888888888887,2.266230894930126,0.7013180986400349
"mp-300850954, Li5CoO4, Li21(CoO4)4, mp-765070, mp-850954",2.6889937759044007,3.0,1261.0863599999998,0.0,7.4,1.0,0.0,3.0,2.9770601666666665,6.290333333333333,0.6846666666666668,7.531415685130002,-1.1818997105,0.5180439710582776,318.58019454378444,0.4563319785206913,0.0,0.0,0.7334333333333333,0.7594989327766621,0.1244813688046002,27.373994146919,0.22166666666666668,2482.9168272346697,13.700000000000005,1.0693333333333337,0.6956346422911639,0.13333333333333333,87.23313084296967,21.720855313627855,0.26666666666666666,0.31034081350000003,0.07299563239947138,0.645,0.2494438257849294,-0.09601194268174616,5.3,0.1027273053480069,10.213069933333333,2.2,0.4793298165992865,7.4,2.2715633383201097,0.7378252176550846
"mp-300850954, Li9(CoO4)2, Li5CoO4, mp-776979, mp-765070",2.6027239571118996,3.0,1233.32236,0.020604593673245297,7.63157894736842,1.0,0.0,3.0,3.0391559824561405,6.241929824561403,0.7035087719298246,7.9920320430592175,-1.2112999249122811,0.5626458260746855,298.3816301198558,0.485065416178044,0.0,0.0,0.7091929824561403,0.7121372373020747,0.12285995296979706,25.126972113816162,0.21614035087719294,2613.2186943157944,14.403508771929822,1.0729824561403507,0.7028559774837526,0.14035087719298245,84.46453737110542,19.814094426698848,0.2807017543859649,0.32659818736842106,0.07683750778891724,0.6289473684210526,0.2273944104704512,-0.14449384750773298,5.105263157894737,0.09658641290476323,10.132858133333333,2.3157894736842106,0.5002123051080531,7.63157894736842,2.272319278412937,0.7154286323373701
"mp-300850971, LiMn2(BO3)2, LiMnBO3, mp-850248, mp-850971",3.0392575519691203,4.0,468.87098,0.0732596811363635,10.090909090909092,1.0,1.0,4.0,2.6946386136363643,3.7656818181818186,0.6545454545454544,23.56855439347834,-1.4047082988413635,0.8706515960216781,282.6551439709229,0.7223490516394406,0.0,0.0,0.275,0.15544362003075088,0.5456820478653639,8.268230546110598,0.17500000000000002,2536.676090919956,17.522727272727273,2.9668181818181822,3.66393014274414,0.13636363636363635,166.7825920425133,9.478444444681262,0.5,0.3979417424777272,2.441567231639817e-05,0.5079545454545455,0.34914298853948217,-0.15903462251165407,3.8181818181818175,0.08587915692506116,5.820321034345097,4.363636363636363,0.534952504278484,10.090909090909092,2.9317300902903813,0.8411122238401284
"mp-300850980, LiMn3(BO3)3, Li2Mn3(BO3)3, mp-780510, mp-850980",3.0769397203013766,4.0,696.3654700000003,0.09585755429687204,10.3125,1.0,1.0,4.0,2.736723265625,3.714375,0.6673437499999999,24.37561597779377,-1.4339969416957814,0.918691416532682,301.18484919768207,0.7479067621001779,0.0,0.0,0.255609375,0.15850313220855253,0.5852117571224402,9.870054141188891,0.1728125,2615.7789058074554,18.0625,3.03609375,3.7958395289437874,0.140625,175.30910199769238,10.955019451003956,0.515625,0.4103434209145312,2.517866207628562e-05,0.5015625,0.3788861141556919,-0.1589315895062831,3.6875,0.08514961311600783,6.000735255398912,4.5,0.5326192826576497,10.3125,2.8722813232690143,0.8522804357744296
"mp-300851007, Li4Co2C4SO16, Li6Co2C4SO16, mp-770515, mp-851007",2.670567249486098,5.0,963.4571800000001,0.07796682903703545,8.666666666666666,1.0,0.0,5.0,2.300880785185185,3.2219259259259267,0.5592592592592591,4.966205463713611,-1.0272967981388887,0.99051465584738,218.17802493385625,0.6700631974606621,0.0,0.0,0.2474222222222222,0.2383892743925461,0.4689277098235626,12.111090723734113,0.1074074074074074,2204.7836260901627,14.133333333333335,3.846229629629629,6.785181728625997,0.15555555555555553,205.92734068386918,12.289788550105731,0.3703703703703704,0.4104954979166666,0.04588062814814815,0.3448888888888889,0.3808877076202205,-0.10375106591514996,3.851851851851852,0.09013963633161584,10.251155370740408,4.296296296296297,0.487914083806699,8.666666666666666,2.3541109010475116,0.7582349056641415
"mp-300851009, Fe7O3F13, Li5Fe7O3F13, mp-774072, mp-851009",3.3939746422271355,3.0,685.8924416,0.1293628434782601,14.043478260869565,1.0,0.0,3.0,4.676338405797102,5.043478260869565,1.085072463768116,24.390059988753386,-1.36729795192029,0.8279350162007424,435.8109182521714,1.1694505643368054,0.0,0.0,0.2407101449275362,0.1592692604757527,1.0045999352326702,16.325930964087483,0.17956521739130438,4314.202093181548,26.88405797101449,1.4586231884057972,1.9411703244495115,0.2318840579710145,251.19064016472473,13.404144042225369,0.2753623188405797,0.26380580641304346,0.30281877828253045,0.5001449275362319,0.4318743311811982,-0.016293063346757286,5.217391304347826,0.06853798826043228,6.852808204694477,2.9565217391304346,0.8140986763887318,14.043478260869565,3.58108874469113,0.934204420047262
