,ShannonRadii,AtomicVolum wmean,chargedensityvoldens,HeatFusion wmean,Density wstd,energysStab,NfValenc wstd,VegardVolume,density
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.5305315845082675,4292.990501751799,0.86036312496182,1.8079487179487181,242.4160331021003,0.0192201557692302,0.0,0.8138744661746534,3.0253259451056884
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.5260251778606109,4376.837218818916,0.8356128657658399,1.985490196078432,293.5997323417461,0.016002415294117608,0.0,0.8063077156064608,2.957058292750959
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.5749057515373958,2907.226143608071,0.7631126782751987,3.3705208333333334,227.6871962107753,0.08088812942708312,0.0,0.8131730184910483,2.643937377237088
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",0.5756424785271304,4428.407366495484,0.9670085680128112,2.24,398.71752847136963,0.0,0.0,0.8306013997322298,3.5476800779000754
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",0.5216807120783181,4133.966591093941,0.9995970174960944,2.0617777777777784,496.45814618921264,0.04559649970833314,0.0,0.8467742310415859,3.4987725942393726
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",0.5001236362262089,4508.5173383555375,1.624049371084725,3.642121212121213,1509.4260666658224,0.1236525724431825,1.1999387801953532,0.8648891537408093,6.438680497095959
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",0.4591260433884976,3817.9366630339055,1.709800136245578,1.0297435897435898,781.3298807762642,0.06394901302884826,0.0,0.9258609570297108,6.80877369076861
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",0.5709822341857687,4133.714159876691,1.1327413042794363,3.2966666666666664,500.6220301798983,0.11438615854166655,0.0,0.8938146090124969,4.172523237209323
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",0.5595259054405349,4133.484740897799,1.0885236048210267,2.1238888888888887,531.3814840667557,0.03298229895833327,0.0,0.8414741761322748,4.0113500195548495
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.5821599392679733,4509.186358656723,0.9156072740488506,2.5996969696969696,610.4093806056368,0.008177761136364481,0.0,0.8541394766027904,3.335859026816772
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",0.4320152467005887,6199.370712485116,1.245683687890425,2.34,1486.1903333333332,0.16829713458333284,0.0,1.2114666131914769,4.5249678728405405
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.5199004224592183,3322.008845437916,0.8390578933280328,1.208035714285714,263.37406310320273,0.0,0.0,0.9737698779096614,2.978432036068726
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.4994946545671143,3321.8014748940973,0.9764901358680468,1.1883928571428568,524.8757141838241,0.15283490168831104,0.0,0.9700753607267579,3.4889845350959683
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.6136810727707418,6200.338441689601,0.6802076861892613,2.4316666666666658,750.6903333333332,0.15142285083333284,0.0,5.7053098900861805,2.4458620885555566
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.5464211074850172,3321.77168627807,0.8870060371528348,1.28125,523.6641368254299,0.09406820938775518,0.0,0.9854169079907094,3.1612882185822944
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",0.4893517604393217,4133.838651402674,1.0103600646795021,2.245555555555556,504.5197518717585,0.03280328541666755,0.0,0.8484193230755019,3.578097729614355
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.5080663407575969,3321.8108675920257,0.911897468892885,1.452678571428571,417.63358907987123,0.03826592104166604,0.0,0.9813303706115252,3.2365921637775488
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.5120311492075786,3321.8151449845873,0.9276416118588852,1.1637499999999998,437.408000278146,0.03222888299603088,0.0,0.9793829922221392,3.309467459824653
