,chargedensityvoldens,HeatFusion wmean,numberDensity,IsFBlock wmean,GSvolume_p wmean,ICSDVolum wmean,energysStab,metalloid,Crystal System,AtomicNum Density,density
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",0.8870060371528348,1.28125,0.07707448734448459,0.0,2.8193835034,4.141785714285714,0.09406820938775518,0.0,2.0,11.857142857142858,3.1612882185822944
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",1.0103600646795021,2.245555555555556,0.08796971704219908,0.0,3.8989021164,5.579999999999999,0.03280328541666755,0.0,3.0,11.833333333333336,3.578097729614355
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",0.911897468892885,1.452678571428571,0.08220877648355822,0.0,2.8531335034,4.173571428571429,0.03826592104166604,0.0,2.0,11.428571428571427,3.2365921637775488
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",0.9276416118588852,1.1637499999999998,0.08259568595529318,0.0,2.8280472965035717,4.180357142857143,0.03222888299603088,0.0,2.0,11.571428571428573,3.309467459824653
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",1.2254302472686092,6.319999999999999,0.06530493150988424,0.0,5.65,8.385,0.2346574591666641,0.0,3.0,19.33333333333333,4.624620030734843
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",0.9342334501808728,1.3269642857142856,0.08021180482956695,0.0,2.8220620748285716,4.132499999999999,0.2060406623214286,0.0,2.0,12.0,3.2854056961449998
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",1.2291383379479959,2.3777777777777778,0.08170209411136506,0.0,3.828611111111112,5.656666666666666,0.145951031458333,1.0,3.0,15.5,4.468334009723021
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",1.060050625409488,2.05,0.0873736975528017,0.0,3.8505687830666666,5.516111111111113,0.10302384968749843,0.0,3.0,12.5,3.7158041170355256
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",0.8717504568907285,1.470535714285714,0.0795842730682889,0.0,2.9181335034,4.240357142857143,0.0,0.0,2.0,11.285714285714285,3.1133546617979966
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",0.9229244242516264,2.273333333333333,0.08150485347693212,0.0,4.000013227511111,5.683888888888887,0.02369942833333205,0.0,3.0,11.666666666666664,3.2913559769920533
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",1.2671698632558863,2.570892857142857,0.07029972800751402,0.0,3.0267049319714285,4.310714285714285,0.0,0.0,2.0,18.571428571428573,4.966421762377047
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",0.9846751920558672,2.0048888888888894,0.08501495824444293,0.0,3.9833492063466656,5.617999999999999,0.0241646573333334,0.0,1.0,11.933333333333335,3.489565940570784
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",0.8539715814919788,1.1958928571428569,0.07510895634974843,0.0,2.8367049319714286,4.165357142857142,0.07848027326388872,0.0,2.0,11.714285714285715,3.0256465676281845
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",1.1100054060992979,3.562962962962963,0.0756820376410707,0.0,4.141851851851851,5.949259259259257,0.11125656666666828,1.0,1.0,15.111111111111107,4.095158426366283
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",0.8715112183372553,1.7236470588235295,0.06386870692882668,0.0,4.558646125113724,6.267843137254902,0.03825824408088163,0.0,1.0,14.058823529411766,3.2744515020199687
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.0402687399719988,1.8344444444444443,0.08461499392593873,0.0,3.892235449733333,5.568888888888887,0.07390691874999966,0.0,1.0,12.666666666666664,3.7121197086487423
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",0.7777739218642656,1.6460784313725492,0.06613010311165761,0.0,4.565214752564706,6.104509803921569,0.004442116911764771,0.0,3.0,12.117647058823529,2.807287612963619
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",1.1190990403443757,1.5778823529411763,0.0638473961766106,0.0,4.762170868345098,6.5892156862745095,0.06946963224264824,0.0,2.0,18.058823529411768,4.383503469759232
"mp-300025959, Bi(PO3)4, LiBi(PO3)4, mp-25960, mp-25959",0.8438373568717956,1.7236470588235295,0.06184062775975002,0.0,4.558646125113724,6.267843137254902,0.0614034618749999,0.0,1.0,14.058823529411766,3.1704749663935523
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",0.6860092446124771,1.7833333333333332,0.06750298978915258,0.0,4.239822595701962,5.920588235294117,0.0021960357352961424,0.0,3.0,10.470588235294116,2.3984570005314256
"mp-300026129, BiP2O7, LiBiP2O7, mp-672945, mp-26129",1.1628540639242717,1.6575333333333333,0.07089288194764737,0.0,4.727515873013333,6.496,0.09434562918749913,0.0,1.0,16.9,4.507793001309548
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",1.4980523414678804,1.6132888888888888,0.06448933811142195,0.0,5.22312169312,7.060444444444445,0.07781211233333353,0.0,2.0,23.93333333333333,6.0602901158346025
"mp-300026209, BiP2O7, LiBiP2O7, mp-26210, mp-26209",1.0232802831583816,1.6575333333333333,0.062383828344281876,0.0,4.727515873013333,6.496,0.03844004493750042,0.0,1.0,16.9,3.9667365337597538
"mp-300026299, SnPO4, LiSnPO4, mp-672986, mp-26299",0.9186545601620292,1.4761111111111107,0.058545817236463835,0.0,5.1264021164,6.415555555555552,0.2847116364583329,0.0,1.0,16.166666666666668,3.4622651544840988
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",1.006052760600026,1.8895238095238087,0.07973362809992057,0.0,3.888108195657143,5.535578231292517,0.00581969867346821,0.0,2.0,13.0,3.5982884888470914
"mp-300026341, SbP2O7, LiSbP2O7, mp-26342, mp-26341",0.9022874298011979,1.947,0.0678560322052266,0.0,4.681182539680001,6.323666666666668,0.03539302312499881,1.0,1.0,13.7,3.331913568595065
"mp-300026389, Nb2(PO4)3, LiNb2(PO4)3, mp-26390, mp-26389",0.8802050940551649,2.3188235294117647,0.06913405922140006,0.0,4.1829551820705895,5.913529411764706,0.004102712647059192,0.0,1.0,13.117647058823529,3.178785055377069
"mp-300026407, SnP2O7, Li2SnP2O7, mp-757076, mp-26407",0.9399287237428432,1.5256666666666667,0.07120658117654227,0.0,4.738682539680001,6.218333333333334,0.0020210062499996795,0.0,1.0,13.6,3.460370932543656
"mp-300026409, Ti(PO3)4, LiTi(PO3)4, mp-540258, mp-26409",0.7800867520724076,1.7833333333333332,0.07676017265560793,0.0,4.239822595701962,5.920588235294117,0.03859758779411848,0.0,2.0,10.470588235294116,2.7273750991312204
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",0.831681411576406,1.8344444444444443,0.06764859394962494,0.0,3.892235449733333,5.568888888888887,0.09237692347222116,0.0,2.0,12.666666666666664,2.9677917259271718
"mp-300026531, Cu2P3O10, LiCu2P3O10, mp-26532, mp-26531",0.998660109593022,1.8893333333333333,0.08433774668637706,0.0,4.0200158730133335,5.648666666666666,0.0369764366666665,0.0,1.0,12.2,3.5479028340791787
