,chargedensityvoldens,HeatFusion wmean,numberDensity,BCCenergy_p wstd,energysStab,NfValenc wstd,metalloid,BCCvolume_padiff wstd,density,nelements
"mp-300566900, Ni(WO4)2, LiNi(WO4)2, mp-510764, mp-25603",1.6093090632765763,3.753333333333334,0.07599500045513384,0.7791152508546709,0.19461236897727294,1.1999387801953532,0.0,0.6087547693004183,6.359749642608242,3.0
"mp-300567344, Ca9Mn(PO4)7, LiCa9Mn(PO4)7, mp-851044, mp-567344",0.8778307927536142,1.2539444444444443,0.07621600648355406,0.5103816962594154,0.0,0.0,0.0,0.5644846204628453,3.0386677721094237,4.0
"mp-300570512, WCl6, LiWCl6, mp-571518, mp-570512",0.7877275374438198,5.107857142857141,0.03227940503915532,0.5165376014285714,0.0019967142857133524,1.0,0.0,1.6960714285714285,3.0365697151906503,2.0
"mp-300571612, W6CCl18, LiW6CCl18, mp-30295, mp-571612",1.044006585434422,6.518133333333334,0.035570139847211316,1.2741552371964764,0.0,1.5839191898578664,0.0,1.3523618746474626,4.142163616262764,3.0
"mp-300578763, Ni(SO4)2, LiNi(SO4)2, mp-850515, mp-782632",0.9437511338445908,0.6873333333333335,0.08625665408438205,0.598438317340422,0.1574837661742423,0.0,0.0,0.7746056510995354,3.2659439068828724,3.0
"mp-300578869, Na5Mn2O8, Na5LiMn2O8, mp-849237, mp-578869",0.7779500171722388,0.9017777777777778,0.07114106632922262,0.3943969862752456,0.025419370916666573,0.0,0.0,0.44438571124621945,2.7786352081676458,3.0
"mp-300585175, Co(PO3)3, LiCo(PO3)3, mp-585227, mp-585175",0.7071922598262129,1.8923076923076925,0.0657782750165673,0.4763662495848465,0.0,0.0,0.0,0.8082432365534123,2.485755516557678,3.0
"mp-300585189, Mn4(PO4)3, LiMn4(PO4)3, mp-31944, mp-585189",1.0405523560961898,1.9280701754385967,0.08452099804036077,0.4753662567756634,0.02499644381578925,0.0,0.0,0.5855784450620373,3.7279008302967656,3.0
"mp-300585261, Mo2P2O11, LiMo4(P2O11)2, mp-540142, mp-585261",0.902607371485604,2.5435555555555562,0.06905623347393486,0.4937615663861227,0.0,0.0,0.0,0.5758379801746393,3.2858538350181004,3.0
"mp-300585354, Cr2P3O10, LiCr2P3O10, mp-31635, mp-585354",0.9272511647971724,2.2182222222222223,0.08283362448049351,0.2872605072555177,0.05334188769444559,0.0,0.0,0.7041945832525469,3.2728049426671517,3.0
"mp-300585378, Co3(P2O7)2, Li2Co3(P2O7)2, mp-540500, mp-585378",0.9595304902705772,1.9974603174603167,0.08205814109399838,0.3305447842269563,0.02917210976190443,0.0,0.0,0.6910936639044007,3.404482516183122,3.0
"mp-300585397, Co3P3O11, LiCo3P3O11, mp-31610, mp-585397",0.9835261845901224,2.090980392156863,0.08049801960588594,0.3125701483275817,0.03594408514705893,0.0,0.0,0.6513282733310304,3.504627575153308,3.0
"mp-300585400, FePO4, LiFePO4, mp-704220, mp-585400",0.7928884771196295,1.8461111111111108,0.06714359924916423,0.3599343763674861,0.027699314583333745,0.0,0.0,0.6157872324850229,2.802533983209532,3.0
"mp-300585424, CrPO4, LiCrPO4, mp-689963, mp-585424",0.809788725503875,2.245555555555556,0.07050643383172124,0.39262175604163374,0.17128719666666647,0.0,0.0,0.6142324809207684,2.867792682514464,3.0
"mp-300585432, MnPO4, LiMnPO4, mp-705467, mp-585432",0.7256526439323652,1.7961111111111108,0.062303387058013325,0.37291110553608703,0.10108970697916676,0.0,0.0,0.6175297263187887,2.5848678949923234,3.0
"mp-300585433, FePO4, LiFePO4, mp-704299, mp-585433",0.7196180747325166,1.8461111111111108,0.060938894960135874,0.3599343763674861,0.007070215208333508,0.0,0.0,0.6157872324850229,2.54355330865202,3.0
"mp-300620862, Tl3(MoO4)2, LiTl3(MoO4)2, mp-25775, mp-620862",1.4352579683750726,2.2857948717948715,0.049165525219878464,0.5089442756632493,0.11900605774038645,1.5229992210171794,0.0,0.4830382694536107,5.859488648116387,3.0
"mp-300630234, Ti3(BiO3)4, Li2Ti3(BiO3)4, mp-23427, mp-630234",1.895224921319172,1.5704210526315787,0.07510200506384859,0.2996223201165697,0.0,1.3894027981209356,0.0,0.4693151989067688,7.689444952916848,3.0
"mp-300630880, Nd2Tl(MoO4)4, LiNd2Tl(MoO4)4, mp-634591, mp-630880",1.4073100973322008,1.8680652173913042,0.06710044067123475,0.7841054588257201,0.06572172258152342,0.2563005678815564,0.0,0.5327644404052342,5.486936573668258,4.0
"mp-300635084, PWO4, LiPWO4, mp-25654, mp-635084",1.503904478909376,3.985,0.07683343579461861,0.5687473282440717,0.10821491666666637,1.0999438818457403,0.0,0.6157872324850229,5.928687114496973,3.0
"mp-300645305, Fe(GeO3)2, LiFe(GeO3)2, mvc-9284, mp-645305",1.1328124769589163,3.2966666666666664,0.07611768442325534,0.3321702017414319,0.11909081354166685,0.0,1.0,0.5087408809508208,4.17278540621284,3.0
"mp-300652260, Rb5Si2NiO8, Rb5LiSi2NiO8, mp-633655, mp-652260",0.9427660855977544,2.04078125,0.05095516541678436,0.3716320775310718,0.044966645117186836,0.0,1.0,0.3384154680148341,3.544221116700512,4.0
"mp-300652866, K11Mn4O16, K11LiMn4O16, mp-775539, mp-652866",0.7545345388132675,0.8693010752688172,0.055147204544826765,0.3889571820835612,0.0,0.0,0.0,0.3781043537176284,2.675806065426736,3.0
"mp-300672958, Sb(PO3)4, LiSb(PO3)4, mp-672963, mp-672958",0.7566084337206574,1.8939215686274509,0.06401973545799064,0.6179904956020561,0.04134151316176471,0.0,1.0,0.7032883897774246,2.736773213746383,3.0
"mp-300672979, BiP2O7, LiBiP2O7, mp-672981, mp-672979",1.0139350462120098,1.6575333333333333,0.06181410012114082,0.5467930444816732,0.05521591118750013,0.6599663291074445,0.0,0.5747462821633702,3.9305098093500965,3.0
"mp-300673023, Bi(PO3)4, LiBi(PO3)4, mp-673020, mp-673023",0.9548505230651758,1.7236470588235295,0.06997622857321238,0.6178528156994537,0.029201040404410964,0.3882154877102614,0.0,0.7394379944175832,3.5875748512113703,3.0
"mp-300673024, Sn4(PO4)3, LiSn4(PO4)3, mp-26446, mp-673024",0.933365799181511,1.5238596491228067,0.053581544307881784,0.3662625987427608,0.0887391050657893,0.0,0.0,0.2376833853836933,3.557818011284163,3.0
"mp-300673059, SbP2O7, LiSbP2O7, mp-684496, mp-673059",0.9846808409167194,1.947,0.07405238358228737,0.5470019087145029,0.1482358891249982,0.0,1.0,0.5111387048867901,3.6361710761158363,3.0
