,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300761995, Cr3Co(PO4)4, Li4Cr3Co(PO4)4, mp-775472, mp-761995",0.489170042,3100.367561,3.616713491,1.634166667,0,0.848438344,7.818247886,0,0.050932159,10.50778378,0.27540435,0.239189907,0.141041667,0.788272441
"mp-300761996, CoNi(PO4)2, Li2CoNi(PO4)2, mp-766719, mp-761996",0.502598842,3100.33214,3.720557738,1.510833333,0,0.848060667,7.071436087,0,0.075176494,7.235228006,0.268194949,0.239077926,0.141666667,0.731349734
"mp-300761997, CrNi(PO4)2, Li2CrNi(PO4)2, mp-775333, mp-761997",0.503681465,3100.354996,3.600659797,1.610833333,0,0.847859873,6.6826631,0,0.058585897,7.858227288,0.259956859,0.238669855,0.14125,0.563110344
"mp-300762022, Mn3Co(PO4)4, Li4Mn3Co(PO4)4, mp-761652, mp-762022",0.518844775,3100.371303,3.460558074,1.381354167,0,0.845400725,5.843443619,0,0.017073339,9.889992794,0.242222121,0.238617263,0.137291667,0.587945329
"mp-300762038, CrCo3(PO4)4, Li4CrCo3(PO4)4, mp-775991, mp-762038",0.50057608,3100.344705,3.665342659,1.534166667,0,0.847958199,8.857278865,0,0.046270138,8.654306842,0.266954558,0.239508363,0.141458333,0.744416109
"mp-300762055, Cr3Co3(SbO8)2, Li4Cr3Co3(SbO8)2, mp-761807, mp-762055",0.414212966,3100.050041,5.182526208,1.611458333,1,0.973997297,9.867877178,0,0.101977498,8.177415068,0.330197285,0.247285245,0.135,0.927453914
"mp-300762071, Co3Ni3(TeO8)2, Li4Co3Ni3(TeO8)2, mp-851314, mp-762071",0.376101285,3100.092495,5.406635226,1.45125,1,0.966407398,10.07943709,0,0.058100815,8.212053673,0.288310734,0.247436914,0.109375,0.88825763
"mp-300762171, Fe3Co3(SbO8)2, Li4Fe3Co3(SbO8)2, mp-761701, mp-762171",0.448074764,3100.040179,5.070604351,1.386770833,1,0.965623811,10.14792928,0,0.1077681,8.177415068,0.315309162,0.247285245,0.13625,0.931114129
"mp-300762181, CoSn3(PO4)4, Li4CoSn3(PO4)4, mp-761975, mp-762181",0.584069464,3100.832368,4.019929489,1.201354167,0,0.840804456,3.294763838,0,0.084519665,6.131542353,0.249753034,0.243722072,0.125729167,0.33305249
"mp-300762200, P2WO7, LiP2WO7, mvc-1311, mp-762200",0.605100922,4340.588905,4.094136454,3.031,0,0.865397913,14.12358154,0.659966329,0.200203888,9.312476696,0.261165927,0.269740237,0.170333333,0.275608115
"mp-300762224, Cu3Sb(PO4)4, Li4Cu3Sb(PO4)4, mp-780043, mp-762224",0.517399673,3100.559296,3.989829641,1.4403125,1,0.845879182,7.098360286,0,0.066427252,10.39975189,0.263714599,0.242173521,0.1278125,0.681454464
"mp-300762234, Ti3Mn3(TeO8)2, Li4Ti3Mn3(TeO8)2, mp-775054, mp-762234",0.260207513,3100.339741,4.51511446,1.244375,1,0.957567677,6.155536126,0,0.048228214,7.917893271,0.271070721,0.245201486,0.0978125,0.587466212
"mp-300762290, Fe3Co(PO4)4, Li4Fe3Co(PO4)4, mp-775516, mp-762290",0.524829479,3100.357699,3.538765163,1.409479167,0,0.846436153,8.326742185,0,0.037995059,10.50778378,0.26682604,0.239189907,0.142291667,0.615417402
"mp-300762355, TiP2O7, LiTiP2O7, mp-761041, mp-762355",0.544741578,4340.648158,2.77880641,1.759,0,0.876868339,4.752543179,0,0.012531583,7.788880964,0.286904477,0.25766978,0.160666667,0.253426789
"mp-300762388, NiO2, Li2(NiO2)3, mvc-6929, mp-762388",0.453501033,6199.222603,4.296969929,2.986666667,0,1.079255857,30,0,0.09112705,33.5,0.32219873,0.232,0.291666667,1.123063915
