,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300031553, CoPO4, LiCoPO4, mp-767450, mp-31553",0.752857722,1.978888889,0.062892167,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.003435537
"mp-300031555, CoP2O7, LiCoP2O7, mp-540262, mp-31555",0.8350194,1.827333333,0.07613463,0,11.3,2.433460307,7.762550633,0,0.051615707,4340.426809,0.014972103
"mp-300031557, Co6P7O24, LiCo6P7O24, mp-705347, mp-31557",1.037589792,2.092432432,0.086174516,0,12.40540541,1.965088587,8.598208144,0,0.083701146,4022.308162,0.004580129
"mp-300031568, Co3(P3O10)2, LiCo3(P3O10)2, mp-31597, mp-31568",0.771187367,1.887816092,0.06961359,0,11.4137931,2.257668298,7.846323644,0,0.053395559,4276.393283,0.004720594
"mp-300031571, CoP2O7, LiCoP2O7, mp-697814, mp-31571",0.760121055,1.827333333,0.069305618,0,11.3,2.433460307,7.762550633,0,0.051615707,4340.426809,0.006814579
"mp-300031581, Co(PO3)4, LiCo(PO3)4, mp-585256, mp-31581",0.785499735,1.823529412,0.075180982,0,10.76470588,3.195669687,7.349432216,0,0.03036218,4377.063105,0.008696803
"mp-300031583, Co(PO3)3, LiCo(PO3)3, mp-540491, mp-31583",0.896912112,1.892307692,0.083424742,0,11.07692308,2.689145439,7.585873872,0,0.03970439,4292.959301,0.006309894
"mp-300031585, CoPO4, LiCo2(PO4)2, mp-540093, mp-767242",0.727221753,1.978888889,0.060750592,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.009955655
"mp-300031592, Co3(PO4)4, Li3Co3(PO4)4, mp-31554, mp-31592",0.841998048,1.830144928,0.07417384,0,11.69565217,2.360106425,8.067899029,0,0.067324835,4313.347808,0.00634196
"mp-300031600, Co(PO3)4, LiCo(PO3)4, mp-31550, mp-31600",0.670608156,1.823529412,0.064184592,0,10.76470588,3.195669687,7.349432216,0,0.03036218,4377.063105,0.00742476
"mp-300031604, CoP2O7, LiCoP2O7, mp-31589, mp-540352",0.791658582,1.827333333,0.072181118,0,11.3,2.433460307,7.762550633,0,0.051615707,4340.426809,0.007097317
"mp-300031606, Co(PO3)4, LiCo(PO3)4, mp-540467, mp-31606",0.797403599,1.823529412,0.076320313,0,10.76470588,3.195669687,7.349432216,0,0.03036218,4377.063105,0.008828599
"mp-300031609, Co3(PO4)4, Li3Co3(PO4)4, mp-585416, mp-31609",0.944899985,1.830144928,0.083238744,0,11.69565217,2.360106425,8.067899029,0,0.067324835,4313.347808,0.007117021
"mp-300031612, Co(PO3)4, LiCo(PO3)4, mp-540264, mp-31603",0.710687093,1.823529412,0.068020588,0,10.76470588,3.195669687,7.349432216,0,0.03036218,4377.063105,0.007868502
"mp-300031614, Co3(PO4)4, Li3Co3(PO4)4, mp-31551, mp-31614",0.838399243,1.830144928,0.073856812,0,11.69565217,2.360106425,8.067899029,0,0.067324835,4313.347808,0.006314854
