,density,nelements,other,BoilingT wstd,HeatCapacityMass wmean,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,MeltingT wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,deltashannonmax,chargedensityvoldens,negativeoxdensity,energysStab,volumeshannonflex,metalloid,BulkModulus wstd,IsAlkali wstd,deltaShannon,lin,bent
"mp-300778864, MnPO4, LiMn3(PO4)3, mp-771363, mp-771361",3.421651351725576,3.0,3.0,148.0590975186081,0.2733333333333333,4133.845305124435,1.7961111111111108,1.2276312129714395,98.49463449696822,0.5586549173800001,2.4365382515699923e-05,0.4183333333333333,0.2594157436964845,0.36740915046911743,0.08247248107229327,0.5185868606303552,0.2018513532492104,0.6952605770005128,0.960563731247004,0.05498165404819552,0.024326792638889927,359.7869459828151,0.0,9.027051252817149,0.0,0.2496135935788388,2.9545653490495467,2.9545653490495467
"mp-300779026, MnCr2Fe3(PO4)6, Li4MnCr2Fe3(PO4)6, mp-776060, mp-779026",3.3933577851261414,5.0,5.0,75.99984954501025,0.16316666666666665,2480.2985966720416,1.1825555555555554,1.0384173826038483,46.412441259900376,0.33103209191855554,0.07035456529941543,0.5404545454545455,0.21150848562264207,0.09161541156016816,0.08207915701762879,0.531274475663995,0.15986557146681166,0.6941535467530594,0.9581955766279644,0.054719438011752525,0.05587232611111048,351.6583177528135,0.0,5.193847262166655,0.0,0.2275313548290665,1.9425446861514395,1.9425446861514395
"mp-300779054, V2(OF)3, LiV2(OF)3, mp-763169, mp-779054",3.2897002699550546,3.0,3.0,418.22672955952436,0.2585,4650.379458245665,1.8510416666666665,2.491820595161743,247.69663912682026,0.3958942653125,0.0,0.6688235294117648,0.2933768049238462,0.2690812368658211,0.07661014560764894,0.532357642562948,0.36639585655348655,1.0225398818355196,0.9015792622667976,0.05745760920573671,0.00852589145833349,0.0,0.0,18.856180831641268,0.0,0.5622898308433647,2.274676266744048,2.274676266744048
"mp-300779056, FeP2O7, LiFeP2O7, mp-25526, mp-19294",2.7682363570719315,3.0,3.0,108.53622836024229,0.2804333333333333,4340.452859134287,1.7476666666666667,1.4738978556497355,62.22172468055047,0.5838075916666666,0.09949759857854573,1.2152631578947366,0.25045315535968793,0.2270466002256548,0.07254811809639737,0.5797878211728624,0.16587722203345573,0.7211563833064211,0.7886422731606108,0.05078368266747817,0.04549815172916727,188.8220700368825,0.0,7.548951362054645,0.0,0.23841976256787625,2.6887154081866496,2.6887154081866496
"mp-300779070, NiP2O7, Li2NiP2O7, mp-540091, mp-779070",2.8438189549506943,3.0,3.0,110.9487408170498,0.28026666666666666,4340.42498978336,1.87,1.4534767513333906,58.366047207830235,0.5873804426666666,0.02806717532350201,1.1133333333333335,0.24767348459338515,0.307708286265346,0.07361640611060709,0.5689773569038634,0.04133016276795973,0.2135295005935158,0.8145454868634707,0.05153148427742496,0.12825976337499867,192.22825719151,0.0,8.017203724214294,0.0,0.18846938912065925,2.6792356900625265,2.6792356900625265
"mp-300779201, MnV3(PO4)6, Li6MnV3(PO4)6, mp-774413, mp-779201",2.8647027952144546,4.0,4.0,108.19950961959309,0.21023529411764708,3282.615912689515,1.4259558823529412,1.2587859803188963,63.59656586545293,0.4381173428333823,3.949594051182058e-06,0.5345454545454545,0.27256148897132915,0.13931991433683996,0.07543247581710902,0.545724724813158,0.10975106339974257,0.6878682009618623,0.8096609034136909,0.053246453517959313,0.025335776029411502,342.8365757923273,0.0,5.4682751276771295,0.0,0.19293077400702616,2.1659625208629123,2.1659625208629123
"mp-300779205, V4(OF3)3, Li3V4(OF3)3, mp-777967, mp-779205",3.3002783605110966,3.0,3.0,418.6461623748396,0.252625,4650.967670798115,1.8532291666666667,2.490617449974615,247.8860909191569,0.30671136109375,0.0,0.8400000000000001,0.2873935877059908,0.4525798357111697,0.07522081847840187,0.5495436740458649,0.31970452731372084,0.9233887925982388,0.898918206927221,0.05641561385880139,0.0016444700000004526,0.0,0.0,18.856180831641268,0.0,0.6472381638808252,2.4191504216331663,2.4191504216331663
"mp-300779340, V4O5F7, LiV4O5F7, mp-764471, mp-779340",3.2833780431707607,3.0,3.0,418.3189241330677,0.2565416666666667,4650.575529096482,1.8517708333333327,2.491360545053925,247.72898226593085,0.3661666305729167,0.0,0.8457894736842105,0.2897673780883101,0.3358460932646097,0.07591267674261322,0.5428797089420995,0.3347497408683852,0.9262111737126558,0.8979761718183313,0.056934507556959925,0.015490824999999653,0.0,0.0,18.856180831641268,0.0,0.5559515799922156,2.26794416132422,2.26794416132422
"mp-300779379, V4OF11, LiV4OF11, mp-764086, mp-779379",3.27894794065052,3.0,3.0,419.16346729271066,0.2487083333333333,4651.359812499749,1.8546875,2.490110530825724,248.16621524821824,0.2472560916145833,0.0,0.5522222222222223,0.2805648373969972,0.5705196355812036,0.07368914279349721,0.5514477892445268,0.34440754880753444,1.1554462505102363,0.8895543278072346,0.055266857095122905,0.0016053987499997644,0.0,0.0,18.856180831641268,0.0,0.926243761185886,2.561638413262912,2.561638413262912
"mp-300779382, V4(OF3)3, Li3V4(OF3)3, mp-778865, mp-779382",3.279499835108956,3.0,3.0,418.6461623748396,0.252625,4650.967670798115,1.8532291666666667,2.490617449974615,247.8860909191569,0.30671136109375,0.0,0.8400000000000001,0.2914067931024387,0.3985763683514189,0.07474722882420033,0.5654395194585878,0.3190321619064353,0.9214468286015608,0.8932586252929644,0.05606042161815024,0.0034343409374999467,0.0,0.0,18.856180831641268,0.0,0.6458769677935348,2.4157879934649373,2.4157879934649373
"mp-300779396, V6O7F5, LiV6O7F5, mp-777433, mp-779396",4.147816903798483,3.0,3.0,564.4595244230841,0.24962962962962965,4134.00911835916,2.441018518518518,3.34154325634417,334.50984595957067,0.378330577824074,0.0,1.1266666666666667,0.22296482817986224,1.2646475735521991,0.0877067927801273,0.5223614306378062,0.387755198213932,1.1773587488687454,1.1303020225508222,0.058471195186751534,0.028360951111114474,62.48336564033281,0.0,25.141574442188357,0.0,0.5761606012122241,3.8808817432911615,3.8808817432911615
"mp-300779400, V4(OF3)3, Li3V4(OF3)3, mp-764172, mp-779400",3.2808504378590624,3.0,3.0,418.6461623748396,0.252625,4650.967670798115,1.8532291666666667,2.490617449974615,247.8860909191569,0.30671136109375,0.0,0.8130000000000001,0.2914675057058725,0.40949400947823866,0.07477801211979071,0.5652605535767106,0.3190759517727363,0.9215733049830854,0.8936264977175826,0.05608350908984303,0.002104768437500404,0.0,0.0,18.856180831641268,0.0,0.6459656198776932,2.424284552166974,2.424284552166974
"mp-300779753, V4OF11, LiV4OF11, mp-766617, mp-779753",3.275366630201268,3.0,3.0,419.16346729271066,0.2487083333333333,4651.359812499749,1.8546875,2.490110530825724,248.16621524821824,0.2472560916145833,0.0,0.8130000000000001,0.2827851691885156,0.6032824622529707,0.07360865853395439,0.5519377039209687,0.27325689520506435,0.9167442934510184,0.8885827447668769,0.0552064939004658,0.0010559853125000627,0.0,0.0,18.856180831641268,0.0,0.7348924123790265,2.5722230732752145,2.5722230732752145
