,BoilingT wstd,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,chargedensityvoldens,negativeoxdensity
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",326.87194896812764,3719.7401314132726,4.251333333333334,4.213638280103734,0.5835028179673333,2.9238459018839906e-05,1.3226315789473684,0.27520577898141196,0.5314353495217174,0.07984062826558615,0.5882503293922842,0.3018081131322771,0.8369192937484582,0.04790437695935169
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",477.3469005157074,3817.915276335221,1.0964102564102565,0.7312482460629572,0.4872654255128204,0.05615048646113184,1.1309999999999998,0.10215573686577227,0.6493400773840832,0.07162962490800112,0.4569485735874593,0.4786425607133192,1.705987663623943,0.044079769174154536
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",583.3,6199.706538533296,3.6566666666666654,3.51,0.7656800983333333,0.0,0.6335,0.21636420289583588,0.9558433353273434,0.08106210229591687,0.4561383185830032,0.1664561816927139,1.0228150121633577,0.05404140153061125
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",318.05525639103934,4134.95352488377,1.896296296296296,1.68073013071427,0.5202075962962962,0.0,1.7719999999999996,0.17848320320832994,0.36097929395622463,0.0641064932799752,0.5287702917927124,0.3742049983869272,1.410345631369963,0.042737662186650135
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",503.40623926248185,4133.808144079476,3.4886111111111107,4.171654588550308,0.5139062393055555,0.0,0.9559999999999998,0.27256354895647,0.7092378854713098,0.07399719605202111,0.5132812858453062,0.08266432132446913,1.370583118906743,0.049331464034680736
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",510.25547105419724,4133.585813469367,3.5638888888888887,4.1269489971032325,0.5136040080555555,2.4945155891858763e-07,0.9983999999999998,0.2640925203574362,1.0059731539616559,0.08048344755397048,0.482746244692837,0.056020217667532894,1.3735474256137907,0.053655631702646985
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",477.5258631257345,3817.913876944414,1.1292307692307693,0.7393968435878614,0.4874419115384616,0.021590134864232318,0.6405882352941176,0.10208062345032473,0.6425933554410606,0.07181218719131854,0.4537423544482063,0.4868150740343009,1.7156972649607276,0.04419211519465757
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",47.93744567897682,4292.990501751799,1.807948717948718,1.7803180281606488,0.5891265557138462,1.1245561161092273e-05,1.4733333333333334,0.2408504571451208,0.33227133692391875,0.08115231580385032,0.5305315845082675,0.1304192906689721,0.86036312496182,0.05618237247958869
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",166.65884431470232,4376.837218818916,1.985490196078432,1.3291564333434749,0.5826843542647059,0.0,1.4152631578947368,0.27279007953279644,0.20457495124855604,0.0782666155646737,0.5260251778606109,0.060502209560048266,0.8356128657658399,0.055247022751534376
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",303.74616423296817,2907.226143608071,3.3705208333333334,5.303785641713524,0.3917142029339584,0.03808099174214154,0.6679999999999999,0.2580817530024613,0.2533717414913413,0.07487959576567765,0.5749057515373958,0.20856048779834108,0.7631126782751987,0.04679974735354853
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",204.37977355094284,4428.407366495484,2.24,1.4827497896730624,0.5676726952380953,0.0,1.2326666666666668,0.2685948661338171,0.16533817813628787,0.07264759648359556,0.5756424785271304,0.07419468104693022,0.9670085680128112,0.051891140345425406
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",161.3322826718161,4133.966591093941,2.0617777777777784,1.4662877625040511,0.5630487230555555,0.03742290043133601,1.0020000000000002,0.2362583984537973,0.36892213212829134,0.08534965249087655,0.5216807120783181,0.03801332326840458,0.9995970174960944,0.05689976832725103
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",426.4300924711129,4508.5173383555375,3.642121212121213,4.173887759227593,0.5568582533333334,0.0904523623441325,0.8505263157894737,0.18806445107730688,0.6369317139280004,0.07733553194057816,0.5001236362262089,0.14576609531642867,1.624049371084725,0.05624402322951138
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",477.3469005157074,3817.9366630339055,1.0297435897435898,0.7236346276217219,0.4856619630769229,0.0,0.6411764705882352,0.09820748358065703,0.8493771766724307,0.0713424120631197,0.4591260433884976,0.4798081983595828,1.7098001362455781,0.04390302280807366
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",256.3620358849428,4133.714159876691,3.2966666666666664,3.519368045591312,0.5354663362962963,0.11055288730949524,0.5275000000000001,0.23851006284050064,0.4890391103656309,0.07611290207872225,0.5709822341857687,0.16793897994053705,1.1327413042794363,0.05074193471914816
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",139.06892242764084,4133.484740897799,2.1238888888888887,1.6031752828852872,0.5430133775188889,2.4365382515699923e-05,0.5249999999999999,0.23355569328294296,0.7442215372237687,0.0747671305713806,0.5595259054405349,0.21665374317184846,1.0885236048210267,0.04984475371425373
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",282.5494296045925,4509.186358656723,2.5996969696969696,2.0218326701755425,0.5894706552651515,0.0,0.9446666666666664,0.243158955964648,0.2459962072302619,0.06941044809804586,0.5821599392679733,0.04120421701948144,0.9156072740488506,0.0504803258894879
