,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean
"mp-300777086, V2OF5, LiV2OF5, mp-779365, mp-777086",0.5531282439414646,4651.163741648932,3.2703097874637344,1.8539583333333327,0.0,0.9597737210411432,18.856180831641268,0.0,0.0014021570833335772,24.63532637404172,0.2756661520795945,0.1869369694724817,0.13666666666666666
"mp-300777147, CrTe(WO6)2, Li4CrTe(WO6)2, mp-775790, mp-777147",0.29219533015670457,3487.2520795768323,6.055693534542189,2.275625,1.0,2.1562466147858124,15.172148555721268,0.7577722283113838,0.0883566073828117,7.93483899785465,0.2734255905446905,0.28993056609177464,0.08359375
"mp-300777185, V2(PO4)3, LiV2(PO4)3, mp-32469, mp-32419",0.5470265701214221,4376.837218818916,2.826033735657747,1.985490196078432,0.0,1.1299809049909175,8.453186555218796,0.0,0.011197824852940741,11.125511621617804,0.224627954675045,0.26187620890208285,0.16137254901960785
"mp-300777213, Fe5Sb(PO4)6, Li4Fe5Sb(PO4)6, mp-772375, mp-777213",0.5510091347696822,3100.4937151037293,3.545856554202225,1.4261111111111109,1.0,1.158532264902302,9.812861222414712,0.0,0.01917159892360853,12.209895535872269,0.2457644191031145,0.2406057062972069,0.13895833333333332
"mp-300777249, V3Cr3(SbO8)2, Li4V3Cr3(SbO8)2, mp-776725, mp-777249",0.458430163222377,3100.13907310211,4.684124629769723,1.7770833333333331,1.0,0.969880052341546,9.208521868356506,0.0,0.09906985333333472,9.09119021819109,0.30178339602291315,0.2461769085688177,0.1315625
"mp-300777304, V3CoO8, Li2V3CoO8, mp-776864, mp-777304",0.5027431582041335,4133.058552423924,3.902098846045392,2.2905555555555552,0.0,1.5775795376053143,16.49915822768611,0.0,0.04088300500000308,21.55122379155253,0.27120970125609284,0.253921670020841,0.18527777777777776
"mp-300777356, Bi2(SO4)3, Li2Bi2(SO4)3, mp-760109, mp-777356",0.6322865652420184,4377.624167714143,3.9385485268879465,0.5885294117647059,0.0,1.1076026592569768,1.5049348530607365,0.7764309754205228,0.0,4.529029777628272,0.2815100511370497,0.2763510018101273,0.04549019607843136
"mp-300777360, V6O13, Li2V6O13, mp-19457, mp-567438",0.5046236910148634,6362.67454088653,3.705655385419609,3.47,0.0,0.8534207988984474,25.26315789473684,0.0,0.023260175263159155,32.052631578947356,0.2828105089558221,0.23684210526315794,0.2589473684210526
"mp-300777396, Mn3FeO8, Li2Mn3FeO8, mp-771261, mp-777396",0.4735066509545909,4132.944244730044,4.03843185092786,1.5083333333333335,0.0,0.8171557260924426,12.253747222284876,0.0,0.09436058015625017,19.71631366892295,0.3660050824540063,0.2536915991299984,0.18333333333333326
"mp-300777417, Ti5Mn3O16, Li4Ti5Mn3O16, mp-776807, mp-777417",0.4230356945009108,4133.332977264184,4.064350239219128,1.5694444444444446,0.0,0.9708178495902928,9.503491885864443,0.0,0.0951143083333328,13.305280094573801,0.3309852262233626,0.2494690016679625,0.1726388888888889
"mp-300777439, Mn5Fe(PO4)6, Li4Mn5Fe(PO4)6, mp-772374, mp-777439",0.5378358655978414,3100.380955652382,3.333250534131028,1.3533333333333333,0.0,1.1490884899943459,6.492695325717403,0.0,0.039583833194443585,11.296244117972995,0.253725107050659,0.2386386855914239,0.13694444444444442
"mp-300777465, P3(WO6)2, LiP3(WO6)2, mp-851036, mp-763532",0.5960504047315964,4376.916192787662,4.355607362028982,3.1937254901960785,0.0,1.2240565706852289,16.75361403510348,0.7764309754205228,0.0,11.125511621617804,0.23146067285622784,0.27424779793332943,0.16803921568627453
"mp-300777480, Ti3MnO8, Li2Ti3MnO8, mp-782664, mp-777480",0.3990708722904879,4133.408305218257,3.9820918563808014,1.586666666666667,0.0,0.9694115752730176,11.36515141415488,0.0,0.0942523574999985,17.21464887247106,0.3172193082462062,0.2509839556379139,0.1713888888888889
"mp-300777495, VP2O7, LiVP2O7, mp-25631, mp-18911",0.5472424988068489,4340.521776909335,2.8404215087289235,2.004,0.0,0.8790594552004057,7.081117300413983,0.0,0.0019115445000004168,9.312476696465996,0.2608576210610657,0.2587167348450596,0.16466666666666666
"mp-300777530, MnPHO5, LiMnPHO5, mp-775096, mp-769993",0.4970306624946304,3488.108268735517,3.3269524696829658,1.0190625,0.0,0.9853257978368396,6.321698125306206,0.0,0.02400008382812491,11.24943574973874,0.2931634154466229,0.698962056932456,0.14875
"mp-300777617, V2OF5, LiV2OF5, mp-779256, mp-777617",0.5556056922698389,4651.163741648932,3.2521792535770566,1.8539583333333327,0.0,1.0317997628960556,18.856180831641268,0.0,0.0,24.63532637404172,0.25993127350242473,0.1869369694724817,0.13666666666666666
"mp-300777630, CrP2O7, LiCrP2O7, mp-31698, mp-19103",0.5444784518731682,4340.463378217765,2.9009386682973552,1.9873333333333327,0.0,0.8820772064792199,7.081117300413983,0.0,0.02120881731249913,9.312476696465996,0.2684787410781244,0.2599209153227616,0.16766666666666666
"mp-300777675, V5O12, Li3V5O12, mp-776915, mp-777675",0.5999870405084063,6563.9879555581665,2.9308404244179647,3.2394117647058827,0.0,0.9113434086171821,23.52941176470589,0.0,0.044270688823528914,29.44117647058824,0.3047667767393559,0.2520882352941177,0.2411764705882353
"mp-300777680, VF5, LiVF5, mp-765782, mp-850149",0.6780359413273085,7751.823977905332,2.8390741263356234,1.8979166666666665,0.0,0.8639004465995986,13.333333333333332,0.0,0.08399887375000059,12.833333333333332,0.2421475460889159,0.3025833333333333,0.13666666666666666
"mp-300777682, NbV3O8, Li2NbV3O8, mp-771572, mp-777682",0.4572883618404217,4133.253171098846,4.239104389533415,2.673888888888889,0.0,0.9592351220697666,16.55984284532098,0.0,0.09254654760416693,21.095279151249358,0.3240144272677645,0.2577445111436737,0.1822222222222222
"mp-300777694, Ti3V5O16, Li4Ti3V5O16, mp-776923, mp-777694",0.419482274567341,4133.2956681446085,3.9603449090024574,2.1315277777777784,0.0,0.9720751148929572,13.677558893455755,0.0,0.10742724031250184,16.299651117223643,0.3256358947413089,0.2494912392694826,0.17722222222222225
"mp-300777695, Fe2OF3, LiFe2OF3, mp-778705, mp-777695",0.5820201273577874,4134.476533245238,3.8978298337588537,1.5891666666666668,0.0,0.8429351141574511,26.71292284482513,0.0,0.09598750458333337,33.81932751519827,0.3016225779295413,0.12288698009367473,0.19666666666666666
"mp-300777702, MnF3, LiMn2F6, mp-765931, mp-767304",0.7639296353452265,6977.129800806425,3.3889988867025407,1.709375,0.0,0.8563245444117519,15.0,0.0,0.04177882666666655,21.5,0.2799980504114608,0.249125,0.20125
