,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300763955, Li2MnV3O8, Li4MnV3O8, mp-775106, mp-763955",-0.0022289003333334795,0.4988830602860325,-0.1694833694296518,-1.1848693527222227,0.0011169397139675352,-0.0011144501666667398,0.0022338794279350704,-188.8565489028512,0.04202629694676899,0.42729492604117997,-0.02828917058079892,-7.55791907353298e-06,-6.807305476648455e-06,-3.403652738324228e-06,-1.511583814706596e-05,-8.594075175953268e-07,-3.816683409582669e-06,-1.7188150351906535e-06,-1.9083417047913347e-06,-0.0010037687158584497,-0.0010037687158584497
"mp-300763959, Li2Mn3FeO8, Li3Mn3FeO8, mp-770175, mp-763959",0.0016830204275269695,0.33445346175267343,0.24114900039502354,-1.1391773330170594,0.0016830204275268825,0.0016830204275269695,0.0016830204275268825,-768.1835970927768,0.017433306113017966,0.28691442330643585,0.04813226266654039,2.3201623484680324e-05,1.6951075324482272e-05,1.6951075324482272e-05,2.3201623484680324e-05,3.9454100987565075e-06,5.400242630731141e-06,3.9454100987565075e-06,5.400242630731141e-06,0.0012296124906297735,0.0012296124906297735
"mp-300763971, Li2VFe3O8, Li3VFe3O8, mp-769914, mp-763971",0.02253122128064314,0.3480231676136823,3.4257408522937323,-0.7986567190828284,0.022531221280643214,0.02253122128064314,0.022531221280643214,-763.824368983935,-0.0031975456685355273,0.3014533938718024,0.666283464521289,0.0003087738973864791,7.207793726926674e-05,7.207793726926674e-05,0.0003087738973864791,1.7158660315677026e-05,7.350579969859074e-05,1.7158660315677026e-05,7.350579969859074e-05,0.005259524745491902,0.005259524745491902
"mp-300764005, LiTiV3O8, Li3TiV3O8, mp-782720, mp-770960",-0.015779038759577698,0.6613226638526064,-1.199940667238335,-1.1944440645986925,0.008016004221090391,-0.007889519379788847,0.016032008442180782,-178.00661930329065,0.0580564192437752,0.6092184582914689,-0.30175672671093523,-5.144237015656173e-05,-3.5829369110106485e-05,-1.7914684555053243e-05,-0.00010288474031312348,-4.731763467594413e-06,-2.717470430978118e-05,-9.463526935188826e-06,-1.358735215489059e-05,-0.005495013178815135,-0.005495013178815135
"mp-300764005, Li3TiV3O8, Li4TiV3O8, mp-770960, mp-764005",-0.008117345677607555,0.2438621678364113,-1.2048895980787109,-1.4022002314551418,0.008183776218118277,-0.008117345677607555,0.008183776218118277,-378.6060455228288,0.028205548405642725,0.1934529790255054,-0.17449757146064926,-0.00010795796706886704,-5.9839121780203564e-05,-5.9839121780203564e-05,-0.00010795796706886704,-1.5371601936197493e-05,-2.773247411148916e-05,-1.5371601936197493e-05,-2.773247411148916e-05,-0.004499295880817339,-0.004499295880817339
"mp-300764015, LiTi3VO8, Li2Ti3VO8, mp-768011, mp-762484",-0.013963916226546831,0.4929191657098854,-2.1300425834987537,-1.2799918201905345,0.014161668580229268,-0.013963916226546831,0.014161668580229268,-343.199689736201,0.03552661915705093,0.4539129476875689,-0.7165932903396331,-0.0001752789807083569,-8.878766896044246e-05,-8.878766896044246e-05,-0.0001752789807083569,-2.458248182952654e-05,-4.8529175377729655e-05,-2.458248182952654e-05,-4.8529175377729655e-05,-0.007073429833420289,-0.007073429833420289
"mp-300764015, Li3Ti3VO8, Li4Ti3VO8, mp-762821, mp-764015",-0.012136783337486178,0.24078557906643425,-1.7650942899203146,-1.4775646875778676,0.012285894578087708,-0.012136783337486178,0.012285894578087708,-372.4868582979354,0.032749146179876835,0.19017128433752986,-0.2573220616893141,-0.0001586306227450918,-9.603774260905407e-05,-9.603774260905407e-05,-0.0001586306227450918,-2.4885518349586442e-05,-4.110472784849838e-05,-2.4885518349586442e-05,-4.110472784849838e-05,-0.007347820074692473,-0.007347820074692473
"mp-300764036, Li2Mn3CrO8, Li3Mn3CrO8, mp-761312, mp-764036",0.012149483780158114,0.3413357637877641,1.7850397946687957,-0.9682250982574148,0.01214948378015812,0.012149483780158114,0.01214948378015812,-760.5015175725891,0.007115180421988139,0.294288318344033,0.35175191749383783,0.0001657444421396697,7.330898304227146e-05,7.330898304227146e-05,0.0001657444421396697,1.730912098140712e-05,3.9134229966566496e-05,1.730912098140712e-05,3.9134229966566496e-05,0.0053737325301165505,0.0053737325301165505
"mp-300764043, Li2Mn3NiO8, Li3Mn3NiO8, mp-772391, mp-764043",0.003970166870242044,0.3359696446509751,0.5603394531315913,-1.1018206077860473,0.003970166870242098,0.003970166870242044,0.003970166870242098,-773.8721776046776,0.01496682716221118,0.2885389049831877,0.11153227556949613,5.515349034573554e-05,2.750334040752082e-05,2.750334040752082e-05,5.515349034573554e-05,6.228644772334708e-06,1.2490537303026633e-05,6.228644772334708e-06,1.2490537303026633e-05,0.0019797994691259143,0.0019797994691259143
"mp-300764093, Li3Ni2(PO4)3, Li4Ni2(PO4)3, mp-504228, mp-773629",0.018679776724926826,0.2637529308658084,4.689162953943233,-0.7369464300017238,0.01867977672492693,0.018679776724926826,0.01867977672492693,-904.3743934248083,-0.002233869459750568,0.2269405774090989,0.64790132452296,0.00029974148231196696,6.922759540252427e-05,6.922759540252427e-05,0.00029974148231196696,2.297067445015987e-05,9.945837305719108e-05,2.297067445015987e-05,9.945837305719108e-05,0.00431423777365865,0.00431423777365865
