,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300026741, Cu4(PO4)3, LiCu4(PO4)3, mp-26742, mp-26741",1.081632202,1.9764912280000002,0.082388047,0.0,13.52631579,3.4950861680000003,9.457861158,0.0,0.0,3916.4618969999997,0.0047385
"mp-300026767, Nb(PO3)4, LiNb(PO3)4, mp-673088, mp-26767",0.848581343,2.094117647,0.075446708,0.0,11.58823529,2.434510941,8.015573097999999,0.0,0.0,4377.200483,0.005106514
"mp-300026823, Cu3(P2O7)2, Li2Cu3(P2O7)2, mp-673105, mp-26823",0.9531330840000001,1.873650794,0.079622754,0.0,12.33333333,1.981674929,8.548010286,0.0,0.0,4133.954074,0.004143318
"mp-300026835, Bi5(PO4)6, Li3Bi5(PO4)6, mp-673116, mp-26835",1.216618355,1.638571429,0.062943915,0.666666667,19.91428571,10.49372666,15.37838259,0.0,0.0,4252.946991,0.011106929
"mp-300026875, CuPO4, LiCuPO4, mp-673017, mp-26467",0.8956068770000001,1.834444444,0.072848263,0.0,12.66666667,2.577040428,8.806520111000001,0.0,0.0,4133.824041,0.00663389
"mp-300026897, Sn(PO3)3, LiSn(PO3)3, mp-673129, mp-26897",0.8039371470000001,1.66025641,0.064478229,0.0,12.84615385,1.6039178219999999,9.118612462,0.0,0.0,4293.368812,0.005332241999999999
"mp-300026949, Sn2(PO3)5, LiSn2(PO3)5, mp-26950, mp-26949",0.88324945,1.671212121,0.067865361,0.0,13.40909091,1.797042275,9.579997121,0.0,0.0,4228.453965,0.00331639
"mp-300027017, SnPO4, LiSnPO4, mp-27018, mp-27017",1.004079689,1.476111111,0.063989957,0.0,16.16666667,6.03018847,11.87118678,0.0,0.0,4134.664976,0.0028664259999999996
"mp-300031519, CoP2O7, LiCoP2O7, mp-31529, mp-31519",0.914293707,1.8273333330000001,0.08336263,0.0,11.3,2.433460307,7.762550632999999,0.0,0.051615707000000004,4340.4268090000005,0.032787023
"mp-300031537, CoPO4, LiCoPO4, mp-31532, mp-31537",0.9582410140000001,1.978888889,0.08004946,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.008745537
"mp-300031540, CoPO4, LiCoPO4, mp-31521, mp-31540",1.083823681,1.978888889,0.090540375,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.02967506
"mp-300031541, CoPO4, LiCoPO4, mp-704240, mp-31541",0.824775112,1.978888889,0.06889999599999999,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.007527439
"mp-300031553, CoPO4, LiCoPO4, mp-767450, mp-31553",0.752857722,1.978888889,0.062892167,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.0034355370000000002
"mp-300031555, CoP2O7, LiCoP2O7, mp-540262, mp-31555",0.8350194,1.8273333330000001,0.07613463,0.0,11.3,2.433460307,7.762550632999999,0.0,0.051615707000000004,4340.4268090000005,0.014972103
"mp-300031557, Co6P7O24, LiCo6P7O24, mp-705347, mp-31557",1.0375897920000001,2.092432432,0.08617451599999999,0.0,12.40540541,1.9650885869999999,8.598208143999999,0.0,0.08370114599999999,4022.308162,0.0045801290000000005
"mp-300031568, Co3(P3O10)2, LiCo3(P3O10)2, mp-31597, mp-31568",0.771187367,1.8878160919999998,0.06961359,0.0,11.4137931,2.257668298,7.846323644,0.0,0.053395559,4276.393282999999,0.004720594
"mp-300031571, CoP2O7, LiCoP2O7, mp-697814, mp-31571",0.760121055,1.8273333330000001,0.069305618,0.0,11.3,2.433460307,7.762550632999999,0.0,0.051615707000000004,4340.4268090000005,0.006814579
"mp-300031581, Co(PO3)4, LiCo(PO3)4, mp-585256, mp-31581",0.785499735,1.8235294119999998,0.07518098200000001,0.0,10.76470588,3.195669687,7.349432216,0.0,0.03036218,4377.063104999999,0.008696803000000001
"mp-300031583, Co(PO3)3, LiCo(PO3)3, mp-540491, mp-31583",0.896912112,1.892307692,0.083424742,0.0,11.07692308,2.689145439,7.5858738720000005,0.0,0.03970439,4292.959301,0.006309894
"mp-300031585, CoPO4, LiCo2(PO4)2, mp-540093, mp-767242",0.7272217529999999,1.978888889,0.060750592,0.0,12.33333333,2.420305031,8.550253167000001,0.0,0.08602617800000001,4133.777703,0.009955655
"mp-300031592, Co3(PO4)4, Li3Co3(PO4)4, mp-31554, mp-31592",0.841998048,1.8301449280000002,0.07417384,0.0,11.69565217,2.360106425,8.067899029,0.0,0.067324835,4313.3478079999995,0.00634196
"mp-300031600, Co(PO3)4, LiCo(PO3)4, mp-31550, mp-31600",0.670608156,1.8235294119999998,0.064184592,0.0,10.76470588,3.195669687,7.349432216,0.0,0.03036218,4377.063104999999,0.00742476
"mp-300031604, CoP2O7, LiCoP2O7, mp-31589, mp-540352",0.791658582,1.8273333330000001,0.072181118,0.0,11.3,2.433460307,7.762550632999999,0.0,0.051615707000000004,4340.4268090000005,0.007097317
