,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,strainlatticemean,oxidation flexibility Std,Density wstd,avgIonicRadVol
"mp-300763459, P4WO12, LiP4WO12, mvc-2220, mp-763459",0.5882700015070098,4377.1584552855575,3.4692998658856267,2.5315686274509805,0.0,0.9963154356430612,8.055745798440316,0.3882154877102614,0.02694873382353169,5.354126134736337,-0.18150609696819586,0.053605305829860436,466.4111310902081,0.5600750782959846
"mp-300763479, Mn3CrCo2(PO4)6, Li4Mn3CrCo2(PO4)6, mp-762512, mp-763479",0.5244036619401358,2480.2929972160127,3.419610427772835,1.1591666666666665,0.0,1.1581729098615057,4.123345160017772,0.0,0.04916616951388875,5.802154772151464,-0.2949205252065319,0.05829576162816081,218.50031714292209,0.4967204689525146
"mp-300763515, MnF4, LiMnF4, mp-561659, mp-763515",0.6926377803722971,7441.8646973780005,3.3402801604410643,1.3930000000000002,0.0,0.9162907759877598,12.0,0.0,0.0,15.700000000000005,-0.11287559444301702,0.1,746.3216,0.8663173292412608
"mp-300763519, Mn3Nb2Co3O16, Li4Mn3Nb2Co3O16, mp-851279, mp-763519",0.4349309341637995,3099.7998398462205,4.850204319077436,1.5713541666666666,0.0,0.9713601639471912,8.13300887330964,0.0,0.06610564218749992,7.298530995172932,-0.10948732221541076,0.0830434773826486,422.28251771862136,0.43002199978747696
"mp-300763526, P(WO4)2, LiP(WO4)2, mp-504791, mp-763526",0.5818037635368155,4509.015421896359,5.387137641630751,3.7854545454545456,0.0,0.8240329962036487,26.337534971842395,1.1999387801953532,1.4371363636911386e-05,17.871493118913072,-9.000207986294603e-14,0.04048743376501121,1612.0112671296204,0.5595199427932825
"mp-300763587, Ti3Mn3(SbO8)2, Li4Ti3Mn3(SbO8)2, mp-763292, mp-763587",0.4441905585612018,3100.2612976624077,4.610776455062592,1.2945833333333332,1.0,0.9731661796578459,6.447807282324744,0.0,0.08447255482638916,7.735053631843803,-0.1159490393848029,0.08837129578211399,333.0873958749312,0.466917515090565
"mp-300763600, Co2C2O7, LiCo2C2O7, mp-763662, mp-763600",0.6714897263312399,3945.000668673413,2.440328733602502,8.143636363636364,0.0,0.9426587666811224,14.226038285104401,0.0,0.09424068727272683,13.027906756406695,-0.14442533823358872,0.04739573149885745,686.4706359837753,0.6371771585822495
"mp-300763649, NbCr3(PO4)6, Li6NbCr3(PO4)6, mp-849254, mp-763649",0.5688533868305136,3282.619835823879,2.8823020144048797,1.5405882352941176,0.0,1.1920649763555629,5.413123231018009,0.0,0.03866799566176482,7.171798141422753,-0.3529810537639288,0.051816536788484205,224.19834930440518,0.5377614693448052
"mp-300764280, MnF4, LiMnF4, mp-765253, mp-764361",0.6980835350740238,7441.8646973780005,3.281098044920036,1.3930000000000002,0.0,0.8923730657072138,12.0,0.0,0.07886305774999869,15.700000000000005,-7.300758163294081e-05,0.4,746.3216,0.8686858800465797
"mp-300764313, KMnP3HO10, KLiMnP3HO10, mp-542842, mp-764313",0.5646250756068257,2558.909081753749,2.5445618200058058,0.9140625,0.0,0.942921883425973,2.88113042051206,0.0,0.0,5.172855835996206,-0.12109216023756868,0.06976785585738965,194.2614350070488,0.5445387548216637
"mp-300764358, FeF3, LiFeF3, mp-556197, mp-764358",0.5820817938766558,6977.075383369418,3.4130682574628235,1.821875,0.0,1.2818128059081164,21.25,0.0,0.0,23.0,-0.13468990387709864,0.4330127018922193,983.614,0.8725215781094506
"mp-300764438, CrNi5(PO4)6, Li4CrNi5(PO4)6, mp-772386, mp-764438",0.5304565437436545,3100.339000599499,3.457099111321632,1.5619444444444444,0.0,1.16201078980884,10.044144461474206,0.0,0.08829868811631769,11.76238019972841,-0.2946115200344603,0.04312022224582675,475.70299499568114,0.5058510422277898
"mp-300764810, MnF4, LiMnF4, mvc-2979, mp-764810",0.8835001008290178,7441.8646973780005,2.8704686810973565,1.3930000000000002,0.0,1.0808493939339932,12.0,0.0,0.3188046237499993,15.700000000000005,-0.09084785110242777,0.4,746.3216,0.8851198398975791
"mp-300764914, Ti4VO8, LiTi4VO8, mp-770251, mp-768022",0.3960458599775272,3815.9478845838826,4.262101773373893,2.047692307692308,0.0,1.2205537909707358,13.987878663575234,0.0,0.12882329846153873,22.63534789569125,-0.4404902955988099,0.04879414941559362,575.5413528859763,0.4501321447657057
"mp-300765157, VF3, LiV2F6, mp-765007, mp-559701",0.5525636922859235,6977.333825025849,3.267198597227244,2.783125,0.0,0.8538348546158187,20.0,0.0,0.0020287118749999773,23.0,-4.207153144382876e-09,0.16237976320958225,763.1139999999997,0.8838456430982516
"mp-300765322, MnCr3O8, Li2MnCr3O8, mp-764180, mp-775608",0.4011016716527008,4132.9463569111795,4.267823609300882,2.1575,0.0,0.9737475262554921,16.996731711975947,0.0,0.09107836979166528,21.242682109608392,-0.1060861435853185,0.09081039465709738,739.4105929836244,0.3910537983330128
"mp-300765461, Mn5Co(PO4)6, Li4Mn5Co(PO4)6, mp-772281, mp-765461",0.5279584656289018,3100.3755285392817,3.407917068286217,1.3699305555555554,0.0,1.1488392636003215,6.48221391364264,0.0,0.06280483409722137,11.407832737305787,-0.296670655540422,0.06429835387654216,386.71907828897696,0.4972172886593152
"mp-300765519, CoO2, Li(CoO2)2, mp-540000, mp-774082",0.4048445666822161,6199.231698943652,4.774135071762188,2.773333333333333,0.0,1.2165493462072776,30.0,0.0,0.06079112666666475,28.33333333333333,-0.34161907839633915,0.07856742013183861,1482.8570000000002,0.4100711707615088
"mp-300765541, VF4, LiVF4, mp-765239, mp-765176",0.7354069402376564,7442.027916753537,3.0454524156547014,2.252,0.0,0.8218914568244556,16.0,0.0,0.05577914725,16.900000000000002,-1.4210854715202004e-14,0.06000000000000001,610.3216,0.8867271297614605
"mp-300765710, Fe5Ni(PO4)6, Li4Fe5Ni(PO4)6, mp-770337, mp-765710",0.5419086550768984,3100.360033582881,3.408875006959154,1.4100694444444444,0.0,1.1694686784289996,9.409166137730132,0.0,0.0627162596701396,12.00817140765219,-0.2948417440264753,0.05087328929591646,409.97896621410285,0.5025717108305949
"mp-300765781, VF5, LiVF5, mp-765975, mp-765781",0.7034875407494963,7751.823977905332,2.614642313383325,1.8979166666666665,0.0,0.833362431100991,13.333333333333332,0.0,0.08219894958333374,12.833333333333332,-2.3977264618224568e-11,0.09316949906249124,508.45999999999987,0.8995744741786702
"mp-300765803, FeCoO4, Li2Fe3(CoO4)3, mp-771871, mp-763110",0.4670419119129863,4132.864549533903,4.2361546395887055,1.7161111111111111,0.0,5.860497442681417,13.766124103737633,0.0,0.11443455697916605,13.064654040011359,-1.762872391515825,0.2545875386086578,662.1860005411556,0.4575846436969033
"mp-300765898, TiMn3O8, Li2TiMn3O8, mp-773245, mp-771575",0.42859233881559256,4133.106993401967,4.3179378683404614,1.5177777777777777,0.0,0.9715996591968984,12.552359475216667,0.0,0.04233251999999865,20.155223260766874,-0.10695736802155408,0.1068519621765911,806.2369671131756,0.4037870069025124
"mp-300765997, TiMn3O8, Li2TiMn3O8, mp-774302, mp-775166",0.45018686852397705,4133.106993401967,3.9927020597767737,1.5177777777777777,0.0,0.8175135817954152,12.552359475216667,0.0,0.09019680041666513,20.155223260766874,-8.736122936170432e-11,0.05342598108829555,806.2369671131756,0.44869497473317577
"mp-300766055, TiFe3(PO4)6, Li6TiFe3(PO4)6, mp-775272, mp-761955",0.586376320836562,3282.6101848434773,2.671072201992409,1.2654411764705882,0.0,1.1859349641598989,5.86222659848982,0.0,0.07531067712622619,7.2642109559916275,-0.3590898483554679,0.05162120673991589,261.30375640862786,0.5582282604045908
"mp-300766115, CrO2, Li2Cr3O6, mvc-9788, mp-762466",0.4880336278559735,6199.41454507545,3.592456691304613,3.5733333333333333,0.0,0.8428734906289076,26.666666666666664,0.0,0.18260293041666745,34.166666666666664,-1.9475014028103037e-06,0.07856742013183861,1189.5236666666667,0.4787507828482267
"mp-300767053, Co(CO3)2, LiCo2(CO3)4, mp-762909, mp-763593",0.6107616397202354,4132.660334779634,2.424607397554418,9.345185185185183,0.0,0.9351283717609772,8.261169020196048,0.0,0.1217858158333307,14.457543917681425,-0.07559247101799826,0.09238660214256646,403.3379601594155,0.5724387895274189
"mp-300767132, Mn3Co2Te3O16, Li4Mn3Co2Te3O16, mp-774178, mp-767132",0.1396728285721804,3100.371401716261,5.114606955505558,1.3207291666666667,1.0,0.9635102254601386,6.1773116877408745,0.0,0.06965203628472239,6.83551635607484,-0.11719798818545495,0.09153768282266717,361.2207908894196,0.41991914404900105
"mp-300767440, MnFe2(PO4)3, Li2MnFe2(PO4)3, mp-849505, mp-767440",0.5508390927433429,3100.371886079547,3.315937104044869,1.372083333333333,0.0,1.1336235914642108,7.366441990037836,0.0,0.0387684068055556,9.106229637444716,-0.2982939654738992,0.057988562432271414,313.93636680315456,0.5106104697991107
"mp-300767622, VOF3, LiVOF3, mp-565784, mp-764237",0.8316299908544189,4960.724517779746,2.6865599492803978,1.499,0.0,0.8421469002517642,15.084944665313015,0.0,0.0,19.09438544587271,-6.474126164590643e-05,0.12649110640673514,575.7491875926762,0.8074352862588279
"mp-300767658, Mn2Co3Te3O16, Li4Mn2Co3Te3O16, mp-769913, mp-767658",0.10773564812551288,3100.3587262601936,5.3224184466577595,1.355,1.0,0.9712297900115012,8.057108177721085,0.0,0.06490335124999902,5.8798738648602535,-0.11436447109249195,0.08267972847076846,403.4411209665544,0.40217795441515136
"mp-300767775, MnCr3(PO4)6, Li6MnCr3(PO4)6, mp-774419, mp-767775",0.553479623260941,3282.5772664965643,2.8527927245246976,1.4149264705882354,0.0,1.1956738027026368,5.468275127677129,0.0,0.05503416915441228,7.2005082000578495,-0.34518572150512483,0.057093425605536326,226.3978395463068,0.5190994461547196
"mp-300768755, Sn2(SO4)3, Li2Sn2(SO4)3, mp-768936, mp-768755",0.6040139961318931,4377.290180505509,3.4270586828970853,0.43339215686274507,0.0,0.8026464791932763,2.9490104818381946,0.0,0.007362872352940642,3.3150594832012636,-0.00040770252826879033,0.026802652914930208,352.9433115991017,0.5527519469909182
"mp-300769499, LaVO4, LiLa8V8O32, mp-18989, mp-769499",0.5163609625795373,4134.453567238744,4.8938916354047315,1.5877777777777775,0.0,0.8635826419682642,11.627978179512114,0.0,0.03570079374999935,13.064654040011359,-0.023512068338542733,0.06093725269022308,481.01829600387254,0.5097194894534852
