,dVraw2,dVnormNumDens,dVnormLiPerFormulaUnit2,dVoriginal,dVraw,dVdensity,dVnormLiPerFormulaUnit,dVweight,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,dVperAtom,avgVolt2,volumetricCap2,energy_grav3,avgVolt3,gravCap3,energy_vol2,energy_vol3,gravCap2,energy_grav2,volumetricCap3,deltax2,deltay,deltax,max Anisotropy,anisotropyMean,deltaz2,deltay2,deltaz
"mp-300018988, Li13Mn8O24, Li2MnO3, mp-763602, mp-18988",-0.7477927804773818,-108.0260505476841,0.02354367490792629,0.008828878090472392,0.008828878090472359,-107.84514157240568,0.023543674907926374,-147.22899889881654,-2.436327747901536,-29.160285343368315,-1.2200158527791003,0.001911225953937268,7.349740034459972e-05,2.221429982344745e-05,0.001911225953937268,0.00010261860697443032,1.5910304530889887e-05,5.966364199083708e-06,0.00027364961859848087,5.9238132862526514e-05,2.756152512922489e-05,-0.04232218891315003,-0.005956359488726637,-0.0059515578159117215,3.583694741921088,1.1905956082054832,25.48405149810551,-0.042356334142056085,3.583694741921088
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.01857962073392992,2.0204276299786352,0.01857962073392992,0.01857962073392994,0.01857962073392992,1.6648441823701905,0.01857962073392994,-419.84094653683394,1.0,2.0204276299786352,-0.8327834133946299,0.005614096374222406,4.539786454761361e-05,4.399907313339517e-05,0.005614096374222406,0.00014561312043314466,1.371760976200984e-05,1.371760976200984e-05,0.00014561312043314466,4.399907313339517e-05,4.539786454761361e-05,1.0072384984613878,-0.028306003107720468,0.55957694358966,0.55957694358966,-0.024081573804445682,-1.086328191411498,-0.050950805593896836,-0.6035156618952766
"mp-300019279, LiMnO2, Li2MnO2, mp-25542, mp-19279",0.14707030519396874,8.289602116884122,0.14707030519396874,0.1470703051939688,0.14707030519396874,-3.593658303147841,0.1470703051939688,-108.39132959181765,0.4551336590529969,2.4783112659557216,-0.5489583722988326,0.09030713338537268,0.00015886895769832117,0.0003397073626121622,0.09030713338537268,0.0005532327693628377,9.755198464255162e-05,9.755198464255162e-05,0.0005532327693628377,0.0003397073626121622,0.00015886895769832117,-0.037063830547577316,-0.03095583097507748,-0.030886525456314432,-0.030886525456314432,-0.04832471818613104,-0.09975815775240146,-0.037146997170092975,-0.08313179812700122
"mp-300019308, LiNiO2, Li2NiO2, mp-25587, mp-19308",1.2949847423011045,65.45484404803564,0.14749237115055225,0.14749237115055225,0.14749237115055225,43.814346505865146,0.14749237115055225,1471.1632050250262,0.7276670347824041,19.561999880998854,-0.5467073538637218,0.05432656925031512,0.0001428029234275921,0.0002119717649916367,0.05432656925031512,0.0005754867032286006,5.259928258131797e-05,5.259928258131797e-05,0.0005754867032286006,0.0002119717649916367,0.0001428029234275921,-0.08367828672205659,-0.07698736106089488,-0.03486595280085692,-0.03486595280085692,-0.46334706572207,-3.0676509199307,-0.1847696665461477,-1.2781878833044584
"mp-300019338, MoO2, LiMoO2, mp-714883, mp-19338",-0.4699262325843379,-20.72590856979552,0.06014753483132415,0.060147534831324075,0.06014753483132415,-22.17492358576539,0.060147534831324075,-134.55280811455094,1.0,-20.72590856979552,-0.8195573955060276,0.024546380350682014,5.960653092582376e-05,0.00012353088643392594,0.024546380350682014,0.0003026954764156281,2.432559511529609e-05,2.432559511529609e-05,0.0003026954764156281,0.00012353088643392594,5.960653092582376e-05,-1.611573676378064,-0.2644236485029232,-2.148764901837419,0.419741659194254,-0.6644822970486961,0.3148062443956905,-0.1983177363771924,0.419741659194254
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.5276575914345745,29.83194744779201,0.02765759143457445,0.018438394289716387,0.0184383942897163,31.378625812013198,0.02765759143457458,-393.9108759728971,1.0,44.74792117168802,-0.9170272256962764,0.006289964134109591,3.513467148107473e-05,3.082650051507254e-05,0.006289964134109591,9.036477139619045e-05,1.1985632805506266e-05,7.990421870337512e-06,0.00013554715709428565,4.6239750772608804e-05,2.3423114320716487e-05,-0.9282065476251722,0.005449775270249813,-1.1344746693196548,0.03589003783430833,-0.3643782854050322,0.029364576409888637,0.004458907039295302,0.03589003783430833
"mp-300019340, Li2V3O6, LiVO2, mp-762271, mp-19340",-0.6637561041824512,-77.05394059466852,0.02619506235793929,0.008731687452646408,0.008731687452646431,-76.71322377567328,0.026195062357939215,-116.01767754208322,-1.1629321344389754,-45.74453281585247,-1.1048295353588655,0.003037660223185904,6.7134635638212e-05,3.0561240559829666e-05,0.003037660223185904,8.78476133363263e-05,2.3355418226114692e-05,7.785139408704897e-06,0.00026354284000897884,9.1683721679489e-05,2.2378211879404e-05,0.027181076844124075,-0.08380212303552438,0.012080478597388478,0.012080478597388478,-0.03334248681094554,-0.06368808598807663,-0.18855477682992985,-0.028305815994700726
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",-0.06565838608162751,-8.612641770276296,-0.06565838608162751,0.07027235553201394,-0.06565838608162751,11.292299618864204,0.07027235553201394,-953.2390916521382,1.0,-8.612641770276296,-1.5909254747346468,-0.025438477804048367,-0.00019352118268559657,-0.0004524460848186208,-0.025438477804048367,-0.0011677931339670858,-7.497723602649224e-05,-7.497723602649224e-05,-0.0011677931339670858,-0.0004524460848186208,-0.00019352118268559657,0.02095637774508301,0.19729799000000006,0.011642432080601672,0.19729799000000006,0.07141988043766496,0.009574594618307765,0.35513638200000003,0.005319219232393202
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.04571479332776816,7.752396827008637,0.04571479332776816,0.04571479332776818,0.04571479332776816,-5.183327620445239,0.04571479332776818,-511.33061678632515,1.0,7.752396827008637,-0.4514224800667823,0.016158123409920497,0.00017419196602236591,0.0003084716897425589,0.016158123409920497,0.0008727325065106608,6.156902567240544e-05,6.156902567240544e-05,0.0008727325065106608,0.0003084716897425589,0.00017419196602236591,-0.06987896449928993,-0.011560547459521509,-0.0757022115408974,-0.011560547459521509,-0.08631771952102814,-0.1584834457501528,-0.010671274578019854,-0.17169039956266552
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.07071183400327133,11.288581655840227,0.07071183400327133,0.0707118340032713,0.07071183400327133,-8.297053463421065,0.0707118340032713,-467.37078655842254,1.0,11.288581655840227,-0.15145799196074478,0.029755274246787308,0.0002536480363574961,0.000519258673062399,0.029755274246787308,0.0012339907469786381,0.000106734141326715,0.000106734141326715,0.0012339907469786381,0.000519258673062399,0.0002536480363574961,-0.09674454434303872,-0.1213656217750554,-0.1048065897049586,-0.1048065897049586,-0.13336593244811026,-0.1605466946439847,-0.11202980471543576,-0.17392558586431672
