,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300031832, Li3Fe4(PO4)6, Li3Fe2(PO4)3, mp-767949, mp-31832",2.0,2.0,0.0,-1.2826515814934698,0.9328861819358164,445.24324324324317
"mp-300031847, Fe9(PO4)8, Li6Fe9(PO4)8, mp-704206, mp-31847",2.0,2.0,-1.5892823835660352,0.15566673518085614,0.5606268267789024,29823.87755102041
"mp-300031869, Fe(PO3)4, LiFe(PO3)4, mp-540077, mp-31869",3.0,8.0,-2.166043918723241,0.19824338432872995,0.4998363324515134,32318.235294117647
"mp-300031887, Li2Fe(PO3)8, Li3Fe(PO3)8, mp-694564, mp-31887",2.0,1.0,0.0,-1.6192152173805132,0.9709202639373941,469.9714285714286
"mp-300031890, Li2Fe(PO4)2, Li3Fe(PO4)2, mp-762755, mp-31776",2.0,1.0,0.0,-1.2191956123240129,0.8833100782887365,421.76923076923083
"mp-300031922, MnPO4, LiMnPO4, mp-777460, mp-31922",3.0,8.0,-1.978601373092204,0.11610811207318572,0.5128662921098932,30398.0
"mp-300031923, MnPO4, LiMnPO4, mp-31942, mp-31923",3.0,4.0,-1.9782826747459572,0.11610811207318565,0.5128662921098933,30398.0
"mp-300031931, Mn4(PO4)3, LiMn4(PO4)3, mp-705354, mp-31931",1.0,2.0,-1.5161781828851415,0.08659273251970853,0.4969940483786336,28862.263157894737
"mp-300031939, MnPO4, LiMnPO4, mp-31927, mp-31939",3.0,8.0,-2.8363259736449464,0.11610811207318565,0.5128662921098933,30398.0
"mp-300031940, MnPO4, LiMnPO4, mp-31930, mp-31940",1.0,2.0,-1.6851040834486255,0.11610811207318555,0.5128662921098933,30398.0
"mp-300031946, MnPO4, LiMnPO4, mp-540022, mp-31946",2.0,2.0,-2.3717199049235056,0.11610811207318565,0.5128662921098933,30398.0
"mp-300031953, MnP2O7, LiMnP2O7, mp-585266, mp-31971",2.0,1.0,-1.877945719642537,0.1652073678869,0.5105737357483819,31960.8
"mp-300031953, LiMnP2O7, Li2MnP2O7, mp-31971, mp-31953",2.0,1.0,-1.6682822577455825,0.15026900152454625,0.4980387158585602,29228.181818181816
"mp-300031955, Mn(PO3)3, LiMn(PO3)3, mp-704236, mp-31955",2.0,2.0,-1.4675736016531449,0.22394168996925973,0.5135259696631418,31715.615384615387
"mp-300031962, Mn9(PO4)8, Li6Mn9(PO4)8, mp-704227, mp-31962",2.0,2.0,-1.565330250513899,0.10466337306265376,0.506711748622262,29802.51020408163
