,dVweight,dVnormNumDensnorPerFormulaUnit,dvnormweight2,dVnormNumDens,dVnormLiPerFormulaUnit,dVraw2,dVoriginal,VnormLiFrac,VoverLi,dVperAtom,dVdensity,dVraw3,dvnormweight,dVnormLiPerFormulaUnit2,dVraw,avgVolt2,energy_grav3,energy_vol4,energy_grav2,volumetricCap3,energy_grav4,volumetricCap4,volumetricCap2,gravCap4,gravCap2,avgVolt3,avgVolt4,energy_vol3,energy_vol2,gravCap3,deltax2,anisotropyMean,deltaz,deltaz2,deltay,deltay2,max Anisotropy,deltax
"mp-300767996, LiFeSiO4, Li3Fe2(SiO4)2, mp-775228, mp-767996",-9.09705826210343,-0.4005598823129817,-0.0039531682373411285,-0.9946924491260098,0.011353242675926193,-0.005644579199236954,0.0056766213379630965,0.28165955618716915,-1.0116319262702689,-1.2588614602542023,4.971732057723739,-0.02743894073538477,-0.003953168237341143,-0.011289158398473907,-0.005644579199236954,-0.002357454569679975,-2.7855057321705786e-05,-4.588849666120334e-05,-5.571011464341157e-05,-2.2602490650405028e-05,-0.00013540659809226386,-0.00010987327478944586,-4.5204981300810056e-05,-0.00032421123904618284,-0.00013338969851113398,-0.002357454569679975,-0.011459854479950472,-9.439914471773088e-06,-1.8879828943546173e-05,-6.669484925556699e-05,0.07721469955949516,0.005222675411215485,0.022575591644303408,0.05418141994632819,-0.039080356893779936,-0.09379285654507186,0.03217279148312298,0.03217279148312298
"mp-300768001, Li4Fe(SiO4)2, Li6Fe(SiO4)2, mp-762704, mp-768001",6.009932151390236,0.8678278397671735,0.0027554201059803982,9.853583038310394,0.04603786471756322,0.09207572943512632,0.09207572943512644,0.308147287600316,7.361239820671159,-0.4219527671407545,-3.9426354795741214,0.03825074191121989,0.002755420105980397,0.046037864717563166,0.09207572943512632,0.030810369056501686,0.00016189332675958684,2.510974344025789e-05,8.094666337979342e-05,0.00018063248134042505,6.725485529161964e-05,7.50396056259748e-05,9.031624067021253e-05,0.0002009888244984517,0.00024190632258789215,0.030810369056501686,0.012799458469672285,6.044321829251782e-05,3.022160914625891e-05,0.0004838126451757843,-0.228528028599703,-0.02598325207947313,-0.009910944104630115,-0.01923889149722317,0.04968774805393646,0.09645268739881786,0.04968774805393646,-0.11772656018772575
"mp-300768006, LiMn3(OF3)2, Li4Mn3(OF3)2, mp-767186, mp-768006",-3.0771536804860857,0.4137230719464927,-0.0012808253570975828,2.0893458076081672,0.012371787177689386,0.03711536153306818,0.037115361533068165,0.6986834718771678,1.9896502765956257,-0.928951149673884,1.5425172052526206,-0.02667062641084297,-0.0012808253570975804,0.012371787177689391,0.03711536153306818,0.011125976871433707,4.684930610773404e-05,-9.987571872986584e-06,1.5616435369244678e-05,4.636560588669594e-05,-3.3665315093141354e-05,-3.3317734270611706e-05,1.5455201962231986e-05,-0.00011230477604305732,5.209516892628774e-05,0.011125976871433707,-0.007994985373625103,1.3898898930723829e-05,4.632966310241277e-06,0.00015628550677886322,0.00965008569872988,-0.0052038853119199145,-0.02625198300497433,-0.025668605604863788,0.0007709212409681142,0.0007537896578354894,0.009869405828246473,0.009869405828246473
"mp-300768013, Li3Fe(Ni2O5)2, Li5Fe(Ni2O5)2, mp-762767, mp-768013",-6.460027097577669,-5.475056268728474,0.003666040059290821,-43.934598039430846,0.0016254776797397508,-0.4983745223202602,0.003250955359479501,-0.3290127721389314,174.31472626236732,-1.1648896821176191,2.3017818441173907,-0.025445984051537585,5.561312172287046e-05,0.0016254776797397985,0.003250955359479597,0.0008767419732661737,7.937962250186989e-06,0.0005045409299951186,3.968981125093492e-06,6.408124904233206e-06,0.002317467604277739,0.001870835537089637,3.204062452116603e-06,0.008593159627661379,1.4716964459027655e-05,0.0008767419732661737,0.25596255768374754,1.7281910860728915e-06,8.640955430364458e-07,2.943392891805531e-05,-0.017207917499999892,0.15581591848292406,0.04857835440747564,0.09108441451401683,0.4280469570412964,0.8025880444524307,0.4280469570412964,-0.009177555999999944
"mp-300768017, LiCo3CuO8, Li4Co3CuO8, mp-761730, mp-768017",-1.6225622125086332,0.41201819242438376,-0.0005792440055578286,2.083918582568338,0.01425181822247675,0.042755454667430304,0.04275545466743025,0.704923809014798,1.9699910890365881,-0.8826202267001191,0.5950647138327573,-0.012061597927730669,-0.0005792440055578278,0.014251818222476769,0.042755454667430304,0.013397732164176676,6.600264056417649e-05,-4.080298523569191e-06,2.2000880188058824e-05,4.615713645431381e-05,-1.861978357723006e-05,-1.3021234968445575e-05,1.5385712151437938e-05,-5.9420303593040624e-05,7.021021348965894e-05,0.013397732164176676,-0.003779589289008871,1.4463673851451975e-05,4.821224617150659e-06,0.00021063064046897683,0.03000446455086925,-0.02078639782708273,-0.06211339530936266,-0.06211339530936266,-0.030250262722754776,-0.030250262722754776,0.03000446455086925,0.03000446455086925
"mp-300768020, Li3Mn2(SiO4)2, Li2MnSiO4, mp-778631, mp-768020",-9.925905755482672,-0.3731657017749356,-0.002074954545731805,-1.289881629880327,0.014900487155808497,-0.007395147924571516,0.007450243577904245,0.19403980513767666,-1.3283213591974177,-1.3886590235857152,5.173172576542785,-0.02880451900384892,-0.002074954545731796,-0.014790295849143032,-0.007395147924571516,-0.0019165843360676226,-2.301249186930856e-05,-2.990656310962852e-05,-4.602498373861712e-05,-2.962590839366836e-05,-8.963495607342082e-05,-0.00011539458710437522,-5.925181678733672e-05,-0.000345856817725776,-0.00017758757419014158,-0.0019165843360676226,-0.0074652042790527015,-7.678081973237744e-06,-1.5356163946475492e-05,-8.879378709507079e-05,-0.07587361499999946,0.004126532606609445,0.0022672685607032506,0.027207222728439014,0.01643513050912504,0.19722156610950053,0.01643513050912504,-0.006322801249999954
"mp-300768059, Li5Ni9O16, Li7Ni9O16, mp-762451, mp-768059",-4.435024676895945,-5.711996140087438,0.0004898089051540147,-69.21259589216932,0.003289540945725311,-0.4967104590542746,0.006579081891450622,-0.5138497821215908,90.17235873610744,-1.081576525953888,1.4358333900250368,-0.010199290832022043,1.2669076648301913e-05,0.003289540945725353,0.0065790818914507046,0.001580033778223412,2.454865283073321e-05,0.0007244724915619152,1.2274326415366607e-05,2.025987248057944e-05,0.0036552053201332952,0.003016621489857301,1.0129936240289718e-05,0.015219861412243137,5.110890650698175e-05,0.001580033778223412,0.2352612956798261,4.865615505320285e-06,2.4328077526601423e-06,0.0001022178130139635,-0.009889180375080226,0.2554770090547764,-0.019495426084032482,-0.0533078056985263,0.7895430677855338,2.158906825976069,0.7895430677855338,-0.0036166145371721975
"mp-300768062, Li9Co15O28, Li13Co15O28, mp-762878, mp-768062",-0.6104290752713919,0.10621433981408217,-5.9066775678148205e-05,2.3958005974188863,0.004559443896743787,0.018237775586975216,0.018237775586975147,0.26779172011397184,2.2563383394306133,-0.922587527981504,0.2157828369806293,-0.0016399299599281069,-5.906677567814843e-05,0.004559443896743804,0.018237775586975216,0.006002992134727906,7.963682843005227e-05,-1.5278998667345437e-06,1.9909207107513067e-05,5.162327507997455e-05,-7.1608963622387266e-06,-4.6419342660253195e-06,1.2905818769993636e-05,-2.175562085123683e-05,6.0486444624984207e-05,0.006002992134727906,-0.0005397854910542744,1.699188109844371e-05,4.2479702746109295e-06,0.00024194577849993683,0.00012748067136636454,-0.0036244055436999993,0.0059815123887422,0.014927077791548626,-0.016905812508904924,-0.04218905889499043,0.0059815123887422,5.108348906272926e-05
"mp-300768084, Li4V11O22, Li8V11O22, mp-762381, mp-768084",-10.178328178325016,-1.1903096755101423,-0.001470339604043552,-1.2878361997146646,0.0347969080062423,-0.01249531264064599,0.012653421093179018,0.438935266691617,-1.3204272671827226,-1.2508036591291236,4.3864604081397385,-0.04082250876666518,-0.0014703396040435515,-0.03436210976177657,-0.012495312640646024,-0.0044738529198632675,-4.039061893134627e-05,-3.427148436820744e-05,-0.00011107420206120227,-2.929852626059449e-05,-0.00013195719409631902,-9.571904117331889e-05,-8.057094721663485e-05,-0.0003685517662181681,-0.000310226309609532,-0.0044738529198632675,-0.01461619291123607,-1.0490117456706904e-05,-2.884782300594398e-05,-0.00011280956713073892,-0.03740783789845889,-0.00645333791100348,0.011340597884331505,0.018255596594289738,-0.007462409286481121,-0.012012658851408632,0.011340597884331505,-0.023238202330860824
"mp-300768114, Li4Ti9O20, Li6Ti9O20, mp-767633, mp-768114",-7.274282573750505,-0.003585878737201353,-0.0006376805078941517,-0.035850624380547445,9.490513952703504e-05,-0.00018977425794924048,0.00018981027905407008,0.2927950836410729,-0.03587103883160125,-1.1414942097742542,3.404885189578265,-0.01770456162117323,-0.0006376805078941543,-9.488712897462024e-05,-0.00018977425794924048,-6.95718038251504e-05,-1.0285116096952966e-06,-2.756115996073695e-05,-5.142558048476483e-07,-8.058489680540945e-07,-9.59526722365736e-05,-7.517986299326579e-05,-4.0292448402704727e-07,-0.0002617345845697293,-1.4027595720577234e-06,-6.95718038251504e-05,-0.006490544614581014,-2.954266133036604e-07,-1.477133066518302e-07,-2.805519144115447e-06,0.0031046485851660525,-0.00042158456705276853,-0.0019988386919009096,-0.009937083782593094,0.00010958671211724892,0.0005448025116686089,0.0006244982786253552,0.0006244982786253552
"mp-300768142, Li12Nb14ZnO42, Li13Nb14ZnO42, mp-767604, mp-768142",-8.438718895091487,-0.0171320843067535,-0.0005488134159031225,-0.4268422662293971,0.0005501305655184474,-0.0005498280882813812,0.0005501305655184474,0.0630299780657352,-0.42989491293440096,-1.256451430321188,2.9685528247133792,-0.0038093139197835726,-0.000548813415903102,-0.0005498280882813812,-0.0005498280882813812,-0.0003207293927769286,-2.546912594609053e-05,-3.901640583552731e-05,-2.546912594609053e-05,-9.654184154731641e-06,-0.00017645496484987238,-6.688603014030229e-05,-9.654184154731641e-06,-0.0003024976761597968,-4.366185683167613e-05,-0.0003207293927769286,-0.0022220744382262943,-5.6315431817646895e-06,-5.6315431817646895e-06,-4.366185683167613e-05,0.0020223427992291146,0.00015044738775616708,0.0004982859619182716,0.005274712825449127,-0.00023798832759179225,-0.002519276439221684,0.0004982859619182716,0.00019104452894202185
