,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300778732, LiMnF4, Li2MnF4, mp-558059, mp-778732",0.15946617426310686,0.5687670661735582,15.401444553999259,-0.051843545305630935,0.15946617426310672,0.15946617426310686,0.15946617426310672,-304.7008609574034,-0.09411453282026484,0.4968949105358178,4.557395161273717,0.0008616269685738463,0.0002250733981381228,0.0002250733981381228,0.0008616269685738463,7.598251458921967e-05,0.0002908765951538649,7.598251458921967e-05,0.0002908765951538649,0.04165560624093604,0.04165560624093604
"mp-300778781, Li4(NiO2)5, Li9(NiO2)10, mp-763578, mp-769454",6.520819094318382e-05,0.5555845350840499,342.09777762955275,-1.2635279790759355,0.0006520819094313348,0.0006520819094318383,6.520819094313346e-05,1362.421807244606,1.0142922580669336,0.5438893912704723,201.178397223346,2.3585349721108428e-05,6.527051851857528e-07,6.527051851857531e-06,2.3585349721108425e-06,1.3862323256346649e-06,5.009118195605332e-07,1.386232325634665e-07,5.009118195605333e-06,1.804583135229359e-05,1.804583135229359e-05
"mp-300778781, Li9(NiO2)10, LiNiO2, mp-769454, mp-850062",0.013484407354780457,-0.7760510047688297,-194.51222244849131,-0.6163405471126223,0.13484407354780406,0.13484407354780456,0.013484407354780405,-892.7339028448275,-0.5031200489138825,-0.8215907741218766,-95.43698116900269,0.00491213815327135,0.00015373750008427193,0.0015373750008427195,0.0004912138153271349,0.0003285619782912872,0.00010498036122574222,3.2856197829128715e-05,0.0010498036122574225,0.00422027844526587,0.00422027844526587
"mp-300778781, LiNiO2, Li2NiO2, mp-850062, mp-778781",0.5065856904912033,-0.6593812192553792,-73.91732838511608,1.3684570159530844,0.5065856904912032,0.5065856904912033,0.5065856904912032,-58.060173000276286,-0.8578119217654192,-1.074226524069224,-14.62727931206186,0.0019765993769669983,0.0008971697443698785,0.0008971697443698785,0.0019765993769669983,0.0002696987418451236,0.0005941867394048876,0.0002696987418451236,0.0005941867394048876,0.22993701188797835,0.22993701188797835
"mp-300778808, Li5La3Nb2O12, Li6La3Nb2O12, mp-761986, mp-778808",0.0014763855228466128,0.1678951741849908,0.3986716869096839,-1.2520840827613104,0.0014763855228465685,0.0014763855228466128,0.0014763855228465685,-3490.688188834145,0.0068838977038190256,0.13007222755703582,0.03609645714034308,4.606111965973253e-05,0.0001294027669050517,0.0001294027669050517,4.606111965973253e-05,2.498036440866775e-05,8.891800242692104e-06,2.498036440866775e-05,8.891800242692104e-06,0.004147714451716447,0.004147714451716447
"mp-300778815, LiCoP2O7, Li2CoP2O7, mp-31535, mp-778815",0.061501200507175675,0.5289689735997429,9.2105577598586,-0.35583547386317343,0.06150120050717577,0.061501200507175675,0.06150120050717577,-507.9417617576322,-0.030671996255808836,0.4861479711997196,2.9416712376328213,0.0005662352908603412,0.00014326294131158316,0.00014326294131158316,0.0005662352908603412,4.914153379067436e-05,0.0001942279728765838,4.914153379067436e-05,0.0001942279728765838,0.015560391627064022,0.015560391627064022
"mp-300778830, Li4Ti2Fe3Co3O16, Li10Ti2Fe3Co3O16, mp-762763, mp-778830",0.07865312866815073,0.6291671628543891,4.255662209395805,-0.7384440772511784,0.013108854778025113,0.01310885477802512,0.07865312866815066,-132.26506034217178,-0.01957715720190547,0.549702983466044,0.2924176388312977,6.239966898380745e-05,0.00014755048225847963,2.459174704307993e-05,0.0003743980139028447,5.95146576916611e-06,9.060832318595166e-05,3.570879461499666e-05,1.5101387197658611e-05,0.03099724527153992,0.03099724527153992
"mp-300778832, LiMn2(BO3)2, Li3Mn4(BO3)4, mp-849990, mp-778832",-0.0001785560962778549,0.33321427467716586,-0.04498506141721013,-1.1043210575299236,0.0007143519370043093,-0.0007142243851114196,0.00017858798425107736,-3922.5682126709007,0.014984877721352378,0.3029058326170371,-0.03599575909511881,-1.2679765783390193e-05,-9.309062894867605e-07,-3.723625157947041e-06,-3.169941445847548e-06,-1.1877641785705571e-06,-1.0111498171367297e-06,-2.969410446426392e-07,-4.044599268546919e-06,-5.243598214377005e-05,-5.243598214377005e-05
"mp-300778864, LiMn2(PO4)2, Li2Mn3(PO4)3, mp-771870, mp-778864",0.010787424491340104,-0.4839915531743451,-231.26834583422482,-0.6275646485742103,0.0647245469480411,0.06472454694804064,0.010787424491340179,-2235.363938582604,-0.5016052584824255,-0.5220426186403541,-194.5126388457367,0.0022392016324306136,0.00011919383223206303,0.0007151629933923784,0.0003732002720717688,0.00021015625938571736,0.00010966782943885308,3.502604323095289e-05,0.0006580069766331185,0.003445320277766501,0.003445320277766501
"mp-300779010, Li6Sn3P8O29, Li9Sn3P8O29, mp-776484, mp-779010",0.049773924592616835,0.3649426309332475,11.551254826536706,-0.27231979635018777,0.01659130819753892,0.016591308197538943,0.049773924592616765,-782.6919335407813,-0.029536678402869623,0.32352584599411155,0.7221800727301853,0.00023325009839980776,0.0003705569807542663,0.00012351899358475538,0.0006997502951994234,4.125461935014617e-05,0.0002337124941743979,0.00012376385805043855,7.790416472479929e-05,0.026358081366831286,0.026358081366831286
"mp-300779056, LiFeP2O7, Li2FeP2O7, mp-19294, mp-779056",0.06354221191670445,0.5298729148710465,9.705182594747184,-0.3311392358078777,0.0635422119167044,0.06354221191670445,0.0635422119167044,-501.7677965996392,-0.03217719529712627,0.4871340889502325,3.0950534560736016,0.0005777050374786173,0.00019553862644658608,0.00019553862644658608,0.0005777050374786173,6.91210692771213e-05,0.00020421330886360336,6.91210692771213e-05,0.00020421330886360336,0.021507440706764087,0.021507440706764087
"mp-300779169, Li2MnF6, Li3MnF6, mp-777332, mp-779169",0.10913933003789764,0.3989333453319272,15.353341641313753,-0.02281632384718503,0.10913933003789757,0.10913933003789764,0.10913933003789757,-410.39948989394026,-0.06416781196711252,0.3321481614799192,2.6300395649015935,0.0007726941146817088,0.00017946266684148914,0.00017946266684148914,0.0007726941146817088,6.263448633897254e-05,0.00026967892443603887,6.263448633897254e-05,0.00026967892443603887,0.025348239172188692,0.025348239172188692
"mp-300779303, LiMn2(BO3)2, Li7Mn8(BO3)8, mp-778827, mp-779303",0.00038646585460253913,0.4287921808893969,0.06446937602366938,-1.0937650175457458,0.0010305756122731915,0.0010305756122734376,0.00038646585460244687,-2634.098452704441,0.02181057407895497,0.3898461932227648,0.04687144136831396,1.2286306377381888e-05,1.3659878305978465e-06,3.6426342149275907e-06,4.607364891518208e-06,1.144681600828578e-06,1.4478439251494502e-06,4.292556003107167e-07,3.860917133731868e-06,0.00011457908517306741,0.00011457908517306741
"mp-300779816, LiFeH8(SO6)2, Li2FeH8(SO6)2, mp-781672, mp-779816",0.04779930442767834,0.5228093797283951,13.412530231442108,0.15358258044968295,0.04779930442767832,0.04779930442767834,0.04779930442767832,-1364.4215559046906,-0.025359062273216926,0.5029264372170783,4.32606788383947,0.0005955202114112961,0.0001893385503510229,0.0001893385503510229,0.0005955202114112961,9.123760490808531e-05,0.0002869665879599872,9.123760490808531e-05,0.0002869665879599872,0.015197218893169169,0.015197218893169169
"mp-300779823, LiCr(Si2O5)3, Li2Cr(Si2O5)3, mp-853182, mp-775349",0.008857956858238794,0.5043900911907481,2.7624044922372604,-0.8324609464541671,0.008857956858238758,0.008857956858238794,0.008857956858238758,-1925.9664667258185,0.005938370938034626,0.4828418342859979,0.9153477811920341,0.00015678446890604562,3.433184490667763e-05,3.433184490667763e-05,0.00015678446890604562,1.3471296621898386e-05,6.151985400380678e-05,1.3471296621898386e-05,6.151985400380678e-05,0.0019396691723931922,0.0019396691723931922
