,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300025666, Li2MnPCO7, Li3MnPCO7, mp-769717, mp-25666",2.0,1.0,-2.0476380391432114,-0.013685178849093557,0.531831431824996,26761.75
"mp-300025688, FePO4F, LiFePO4F, mp-25518, mp-25515",2.0,2.0,0.0,-1.2294656571348235,0.8799571132499364,415.0
"mp-300025688, LiFePO4F, Li2FePO4F, mp-25515, mp-25688",2.0,2.0,-1.5783472129056413,0.08167931094750458,0.48733200014690536,23990.875
"mp-300025742, Cr(GeO3)2, LiCr(GeO3)2, mvc-8434, mp-25742",1.0,4.0,-1.2799583727833421,-0.08441205275221418,0.4931934270979546,30022.777777777777
"mp-300025839, LiTi2(PO4)3, Li3Ti2(PO4)3, mp-25840, mp-25839",1.0,4.0,-1.828658577244877,0.130862234274974,0.5042457807750093,30527.722222222223
"mp-300025871, LiCu2P5O16, Li3Cu2P5O16, mp-585339, mp-25871",1.0,2.0,-0.9871087105887089,0.0545641791248205,0.47817735167104786,30556.958333333332
"mp-300025881, Bi(PO3)4, LiBi(PO3)4, mp-684096, mp-25881",1.0,4.0,0.0,-1.679587399194946,1.007670246627065,465.11764705882354
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.0,2.0,-1.841897898589831,-0.15511361187470515,0.4563657054465719,30360.833333333332
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",3.0,8.0,-2.10195544471485,0.25228897839157616,0.5164453170732864,32340.176470588234
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",2.0,1.0,0.0,-1.507902695844292,0.9580245964659042,423.3529411764706
"mp-300025929, LiBi2(PO4)3, Li3Bi2(PO4)3, mp-504151, mp-25929",2.0,2.0,0.0,-1.3934340518077102,0.9310867787742243,408.27777777777777
"mp-300025943, LiCuP2O7, Li2CuP2O7, mp-684120, mp-25943",1.0,4.0,-1.48498762412626,0.0023298793711511345,0.4672202140422029,29207.909090909092
"mp-300025959, Bi(PO3)4, LiBi(PO3)4, mp-25960, mp-25959",1.0,4.0,0.0,-1.6795873991949455,1.0076702466270653,465.11764705882354
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",3.0,8.0,-2.157926699984579,0.2365585224736005,0.5138563379720535,32356.529411764706
"mp-300026129, BiP2O7, LiBiP2O7, mp-672945, mp-26129",1.0,4.0,0.0,-1.558220564448206,0.9824404353803246,438.2
"mp-300026157, Sb(PO3)4, LiSb(PO3)4, mp-684426, mp-26157",1.0,4.0,0.0,-1.8807579593908923,1.0250751152081137,494.6470588235294
