,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300777681,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509,-0.08626192292990509
mp-300777682,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777694,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777695,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777702,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777702,-2.099240951118745,-2.099240951118745,-2.099240951118745,-2.099240951118745,-2.099240951118745,-2.099240951118745,-2.099240951118745,-2.099240951118745
mp-300777706,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777706,0.0628183671231215,0.0628183671231215,0.0628183671231215,0.0628183671231215,0.0628183671231215,0.0628183671231215,0.0628183671231215,0.0628183671231215
mp-300777713,0.02720240410395558,0.02720240410395558,0.02720240410395558,0.02720240410395558,0.02720240410395558,0.02720240410395558,0.02720240410395558,0.02720240410395558
mp-300777767,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777767,1.0994655517196277,1.0994655517196277,1.0994655517196277,1.0994655517196277,1.0994655517196277,1.0994655517196277,1.0994655517196277,1.0994655517196277
mp-300777767,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953,-0.5127040486759953
mp-300777781,0.2323192434193575,0.2323192434193575,0.2323192434193575,0.2323192434193575,0.2323192434193575,0.2323192434193575,0.2323192434193575,0.2323192434193575
mp-300777836,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335,-0.03284372389179335
mp-300777836,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395,-0.0039107530498198395
mp-300777855,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777907,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006,0.0014384150963892006
mp-300777934,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317,-0.019755299873097317
mp-300777937,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646,0.00020983609222128646
mp-300777939,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777940,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777940,0.008074276422560091,0.008074276422560091,0.008074276422560091,0.008074276422560091,0.008074276422560091,0.008074276422560091,0.008074276422560091,0.008074276422560091
mp-300777941,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777941,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776,-0.002796981248678776
mp-300777968,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855,0.0068949545998876855
mp-300778025,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778025,1.4277437437520464,1.4277437437520464,1.4277437437520464,1.4277437437520464,1.4277437437520464,1.4277437437520464,1.4277437437520464,1.4277437437520464
mp-300778059,-0.4383645175,-0.4383645175,-0.4383645175,-0.4383645175,-0.4383645175,-0.4383645175,-0.4383645175,-0.4383645175
mp-300778150,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584,-0.002543956861459584
mp-300778150,0.004326460346580982,0.004326460346580982,0.004326460346580982,0.004326460346580982,0.004326460346580982,0.004326460346580982,0.004326460346580982,0.004326460346580982
mp-300778223,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778249,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778261,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778294,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778294,0.3638817363074101,0.3638817363074101,0.3638817363074101,0.3638817363074101,0.3638817363074101,0.3638817363074101,0.3638817363074101,0.3638817363074101
mp-300778298,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778299,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778299,0.08585429363960984,0.08585429363960984,0.08585429363960984,0.08585429363960984,0.08585429363960984,0.08585429363960984,0.08585429363960984,0.08585429363960984
mp-300778316,0.19798450398427286,0.19798450398427286,0.19798450398427286,0.19798450398427286,0.19798450398427286,0.19798450398427286,0.19798450398427286,0.19798450398427286
mp-300778320,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778341,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778395,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778400,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778410,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778433,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778433,0.12841136622653604,0.12841136622653604,0.12841136622653604,0.12841136622653604,0.12841136622653604,0.12841136622653604,0.12841136622653604,0.12841136622653604
mp-300778458,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778458,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468,-0.0024561248039880468
mp-300778500,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778543,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381,-0.00781951358842381
mp-300778554,0.10462490681442027,0.10462490681442027,0.10462490681442027,0.10462490681442027,0.10462490681442027,0.10462490681442027,0.10462490681442027,0.10462490681442027
mp-300778555,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778560,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025,-0.03138272799090025
mp-300778564,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778572,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778572,0.06341240664082193,0.06341240664082193,0.06341240664082193,0.06341240664082193,0.06341240664082193,0.06341240664082193,0.06341240664082193,0.06341240664082193
mp-300778578,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778578,0.9374189117722064,0.9374189117722064,0.9374189117722064,0.9374189117722064,0.9374189117722064,0.9374189117722064,0.9374189117722064,0.9374189117722064
mp-300778591,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778623,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778629,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778636,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778636,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193,-0.004182824987814193
mp-300778653,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778677,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778695,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778695,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014,-0.03783919536166014
mp-300778695,0.10852969009996104,0.10852969009996104,0.10852969009996104,0.10852969009996104,0.10852969009996104,0.10852969009996104,0.10852969009996104,0.10852969009996104
mp-300778709,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778709,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629,-0.0186090459373629
mp-300778732,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778732,0.5958704570638726,0.5958704570638726,0.5958704570638726,0.5958704570638726,0.5958704570638726,0.5958704570638726,0.5958704570638726,0.5958704570638726
mp-300778744,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778769,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778774,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778781,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778781,2.259652286025669,2.259652286025669,2.259652286025669,2.259652286025669,2.259652286025669,2.259652286025669,2.259652286025669,2.259652286025669
mp-300778781,0.6295745847922476,0.6295745847922476,0.6295745847922476,0.6295745847922476,0.6295745847922476,0.6295745847922476,0.6295745847922476,0.6295745847922476
mp-300778781,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752,-0.2884865739426752
mp-300778781,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924,-0.3845933196696924
mp-300778785,inf,inf,inf,inf,inf,inf,inf,inf
mp-300778808,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206,0.0015418160496967206
mp-300778815,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778815,0.06776488104464473,0.06776488104464473,0.06776488104464473,0.06776488104464473,0.06776488104464473,0.06776488104464473,0.06776488104464473,0.06776488104464473
