,VnormLiFrac,dVnormNumDens,dVnormNumDensnorPerFormulaUnit,dVnormLiPerFormulaUnit,dVnormLiFrac,dVraw,dVnormNumDensnorPerFormulaUnit2,dVnormLiFrac2,dVoriginal,dVnormNumDens2,dVperAtom,dVnormLiPerFormulaUnit2,VnormLi,volumetricCap,energy_vol,avgVolt,gravCap,energy_grav
"mp-300765709, Li2Ti2Fe3O10, Li3Ti2Fe3O10",0.2868903840563521,-1.901945756704997,-0.3849781710554283,0.0102386225868345,0.20886790077142384,-0.010134855625116908,-0.3849781710554283,-0.20675105475238492,0.0102386225868345,-1.901945756704997,-1.328598218377253,-0.010134855625116908,-0.010134855625116908,4.4048306347559946e-05,1.1245508203483392e-05,0.0026139146732254747,0.00016964841312657136,4.331114586948198e-05
"mp-300765709, Li3Ti2Fe3O10, Li4Ti2Fe3O10",0.6032828030910952,188.9271209278827,27.09237646941285,0.0022329185067067048,0.05091054195291287,-0.0022279436900093713,27.09237646941285,-0.05079711613221366,0.0022329185067067048,188.9271209278827,-1.2481235837042004,-0.0022279436900093713,0.19910882252399625,9.58499498837252e-06,3.6349790949806525e-06,0.0008468039996390697,3.757652364809989e-05,1.4250385951018787e-05
"mp-300765709, Li4Ti2Fe3O10, Li5Ti2Fe3O10",-0.6898885604641563,-94.25273082718876,-10.550256311992747,0.003371332775592873,0.08540709698168608,-0.003360005080339395,-10.550256311992747,-0.08512012870193131,0.003371332775592873,-94.25273082718876,-1.3475307889335042,-0.003360005080339395,0.16722666751338988,1.4423111170079644e-05,5.8474597623553615e-06,0.0013668155586074068,5.760735575805263e-05,2.335534205059053e-05
"mp-300765712, Li2FeNi3O8, Li3FeNi3O8",0.28568742287592097,-0.005330986105593568,-0.0010662453348821586,3.760797371077373e-05,0.0006581395399385401,-3.7606559404309474e-05,-0.0010662453348821586,-0.0006581147895754155,3.760797371077373e-05,-0.005330986105593568,-1.167280907136937,-3.7606559404309474e-05,-3.7606559404309474e-05,1.1979775304004206e-07,3.2908152949218236e-08,1.0330819398345924e-05,5.342610379091444e-07,1.4676021464647697e-07
"mp-300765717, Li2VCr3O8, Li5VCr3O8",0.5544623056288629,4.948537549496097,0.6760471620760184,0.030058505225434587,0.596160353637786,0.09017551567630384,0.6760471620760184,0.5961603536377864,0.09017551567630376,4.948537549496097,-0.6757110813179013,0.03005850522543461,0.015029252612717309,0.00010450637540875187,5.797854270627649e-05,0.0500280003612224,0.0004145489096996553,0.0002299854106589656
"mp-300765722, LiMn3NiO8, Li2Mn3NiO8",0.4545211166143552,-1.8318569575452832,-0.6158335206680594,0.013032212001911514,0.19765521536232467,-0.012864558350181007,-0.6158335206680594,-0.19511246831107867,0.013032212001911514,-1.8318569575452832,-1.2645091967650488,-0.012864558350181007,-0.012864558350181007,4.2233620577292245e-05,1.0215165916206704e-05,0.003152138178896375,0.00017766820754985382,4.297311462642226e-05
"mp-300765723, Na3Li4Mn5O9, Na3Li5Mn5O9",0.1809746467364688,7.05642386649647,0.7417276651279805,0.02328363188724269,0.6327669371709485,0.023283631887242667,0.7417276651279805,0.6327669371709478,0.02328363188724269,7.05642386649647,-0.6312893139838804,0.023283631887242667,0.023283631887242667,0.00014378701007037995,9.108258965063026e-05,0.014749131286087756,0.0004537964580918128,0.00028745960123278616
"mp-300765723, Na3Li5Mn5O9, Na3Li6Mn5O9",0.12218574502673893,-1.9771858589381452,-0.1833691373892178,0.007578101360612655,0.2255599581452943,-0.0075211056595804815,-0.1833691373892178,-0.2238634978675132,0.007578101360612655,-1.9771858589381452,-1.5082479493668803,-0.0075211056595804815,-0.0075211056595804815,4.644624603462395e-05,6.600623552061879e-05,0.01076948054821995,0.00014965926154697162,0.0002126855302395652
"mp-300765728, Li3VFe3O8, Li4VFe3O8",0.1959282308126374,-0.7562331431817171,-0.10896508058338668,0.00508971148420323,0.10179422968406462,-0.005063937503337119,-0.10896508058338668,-0.1012787500667424,0.00508971148420323,-0.7562331431817171,-1.3449488281875708,-0.005063937503337119,-0.005063937503337119,1.7338070589304136e-05,6.040059733329245e-06,0.0017731016396348171,7.106889519106578e-05,2.4758254958343743e-05
"mp-300765743, LiCrFeO4, Li2CrFeO4",0.42564856183838296,-0.3767016096980643,-0.12599248834663318,0.005115016782829772,0.04774015663974455,-0.005088986531314592,-0.12599248834663318,-0.04749720762560286,0.005115016782829772,-0.3767016096980643,-1.2082267233390689,-0.005088986531314592,-0.002544493265657296,8.550861604408906e-06,2.4800382955923937e-06,0.0014835274023701785,3.5444475981498825e-05,1.0280093617232435e-05
"mp-300765747, Li3TiCr3O8, Li4TiCr3O8",0.19397399601909748,-1.0818668561034317,-0.15651434355222565,0.007532504976128119,0.1506500995225624,-0.0074761905337303435,-0.15651434355222565,-0.14952381067460688,0.007532504976128119,-1.0818668561034317,-1.3901785725074454,-0.0074761905337303435,-0.0074761905337303435,2.5041364237172463e-05,1.7491862177874815e-05,0.00526159587986835,0.00010106896235722328,7.059856417043945e-05
"mp-300765750, Li4Cr2Fe3O10, Li5Cr2Fe3O10",0.16347971769969585,1.2824664072129686,0.14035672078501016,0.0066764440453646046,0.16913658248256996,0.006676444045364571,0.14035672078501016,0.16913658248256905,0.0066764440453646046,1.2824664072129686,-1.1059869133082274,0.006676444045364571,0.006676444045364571,2.804673233361233e-05,8.003389384744352e-06,0.0019051838469065809,0.0001161403349317685,3.3141697673621694e-05
"mp-300765758, Li2MnFe3O8, Li3MnFe3O8",0.2810003870993449,-0.9280128236043887,-0.18705516090544747,0.006599458060916996,0.1154905160660474,-0.006556190754990149,-0.18705516090544747,-0.11473333821232755,0.006599458060916996,-0.9280128236043887,-1.2737511156648391,-0.006556190754990149,-0.0032780953774950747,2.126475671822697e-05,5.994974752036938e-06,0.0018605237283722288,9.142483120058136e-05,2.5774550916302386e-05
"mp-300765765, V2F7, LiV2F7",1.0,3.6931128468131065,3.6931128468131065,0.025581633818365868,0.2558163381836587,0.02558163381836588,3.6931128468131065,0.2558163381836588,0.025581633818365868,3.6931128468131065,-0.7697652956347069,0.02558163381836588,0.01279081690918294,8.298215402075347e-05,2.137001707077109e-05,0.006587921919452361,0.00023080690069555025,5.943865239605757e-05
"mp-300765765, LiV2F7, Li2V2F7",0.4362089090543976,-3.3627425266816164,-1.1390457172062718,0.025074710810186085,0.3064686876800521,-0.024461349544335025,-1.1390457172062718,-0.298972049986317,0.025074710810186085,-3.3627425266816164,-1.3829038838259444,-0.024461349544335025,-0.012230674772167513,7.934815617547453e-05,4.4064399990207504e-05,0.013924735495244315,0.0002327270588313661,0.0001292402836205985
"mp-300765780, V2OF5, LiV2OF5",1.0,-3.322329894714188,-3.322329894714188,0.032899004407676014,0.2960910396690841,-0.03185113381587793,-3.322329894714188,-0.2866602043429014,0.032899004407676014,-3.322329894714188,-1.2548090705270232,-0.03185113381587793,-0.015925566907938966,7.710681042217673e-05,2.3751950423041243e-05,0.010134195895020352,0.0002698249389885505,8.311676411806188e-05
"mp-300765784, Li2Cr3(CoO4)3, Li4Cr3(CoO4)3",0.4509019856292879,0.17726948245048002,0.08853762309049508,0.0024640017055647108,0.02007705093423098,0.0016426678037098465,0.08853762309049508,0.02007705093423146,0.0016426678037098075,0.17726948245048002,-1.0928592466254463,0.0024640017055647693,0.0008213339018549894,3.976601887723999e-06,1.0961187324652313e-06,0.0004527883357955117,1.6932782901922863e-05,4.667387145004754e-06
"mp-300765786, LiCoNiO4, Li2CoNiO4",0.4516180270251072,2.9871706994144143,0.967429317262774,0.04202654279216023,0.3922477327268287,0.04202654279216032,0.967429317262774,0.3922477327268296,0.04202654279216023,2.9871706994144143,-0.8234499005306907,0.04202654279216032,0.02101327139608016,6.429921081685982e-05,1.955715470737802e-05,0.012782732303566715,0.00030656697876028666,9.324496763833233e-05
"mp-300765791, V3(OF)4, Li2V3(OF)4",1.0,5.228330022339738,2.6141650111698684,0.03513463449767462,0.4567502484697701,0.07026926899534927,2.6141650111698684,0.4567502484697703,0.07026926899534924,5.228330022339738,-0.6135190205255789,0.035134634497674636,0.035134634497674636,0.00011747761446269217,3.292150766878617e-05,0.01969200931335778,0.0004020565691042441,0.00011267089890776373
"mp-300765796, Mn3CoO8, Li2Mn3CoO8",1.0,2.9411806982129263,1.4705903491064631,0.02056712161402541,0.2879397025963557,0.041134243228050885,1.4705903491064631,0.2879397025963561,0.04113424322805082,2.9411806982129263,-0.7531945406316952,0.020567121614025442,0.020567121614025442,6.608666450920481e-05,1.7313501317529852e-05,0.010776421833564566,0.00028057568142735565,7.350571353745282e-05
"mp-300765796, Li2Mn3CoO8, Li3Mn3CoO8",0.2994702422078868,2.9802848913320936,0.5817874438209351,0.019636505573947586,0.3436388475440826,0.019636505573947582,0.5817874438209351,0.3436388475440825,0.019636505573947586,2.9802848913320936,-0.8459370756255206,0.019636505573947582,0.019636505573947582,6.433538407457145e-05,2.7156367462621907e-05,0.008288691654188994,0.0002729656893973418,0.0001152205224635011
"mp-300765810, Nb4VO12, Li3Nb4VO12",1.0,-0.28742561070153466,-0.09580853690051157,0.001280241719543514,0.025604834390870284,-0.003826030427310753,-0.09580853690051157,-0.025506869515405033,0.003840725158630542,-0.28742561070153466,-1.0216808390880938,-0.0012753434757702515,-0.0012753434757702515,6.483095204384218e-06,2.710528501124878e-06,0.001605775432761713,3.035069416781134e-05,1.2689374284546104e-05
"mp-300765811, Ni3Sn(PO4)4, Li4Ni3Sn(PO4)4",1.0,6.040988609665088,1.510247152416272,0.0197211780254426,0.5521929847123928,0.07888471210177038,1.510247152416272,0.5521929847123926,0.0788847121017704,6.040988609665088,-0.5266917273893771,0.01972117802544259,0.01972117802544259,0.00013573759265911073,3.667895735972106e-05,0.021316194982042826,0.0005168720583993802,0.0001396689584592367
"mp-300765816, LiMn(PO4)2, Li2Mn(PO4)2",0.4570079651342779,-0.34336771960138684,-0.1146420024445768,0.0024468335982563705,0.0347005492116358,-0.0024408612170218947,-0.1146420024445768,-0.03461584998685596,0.0024468335982563705,-0.34336771960138684,-1.1228621832046504,-0.0024408612170218947,-0.0012204306085109474,7.75303419201929e-06,1.646300726932486e-06,0.0005195674147340675,2.36236723365371e-05,5.016315932217818e-06
"mp-300765816, Li2Mn(PO4)2, Li3Mn(PO4)2",0.30193111460449096,4.379787762798831,0.8453246898806601,0.0284783249463203,0.471186830930027,0.02847832494632036,0.8453246898806601,0.4711868309300279,0.0284783249463203,4.379787762798831,-0.7442875530974428,0.02847832494632036,0.01423916247316018,9.280616964036331e-05,2.0874327816482134e-05,0.006405456586533288,0.00028232760316251133,6.350223226423061e-05
"mp-300765820, LiV2F7, Li2V2F7",0.4728531063783233,5.9426602616235815,1.9227964464054528,0.04335244436577202,0.5298632089149913,0.043352444365772035,1.9227964464054528,0.5298632089149915,0.04335244436577202,5.9426602616235815,-0.6294172848247555,0.043352444365772035,0.021676222182886017,0.0001277394360570284,5.486912220074469e-05,0.018621583443851838,0.0004023690221901976,0.0001728333530335275
"mp-300765830, LiVF5, Li2VF5",0.4404316340094206,2.2582507017539246,0.7420380525293485,0.021195275070627684,0.1978225673258584,0.021195275070627597,0.7420380525293485,0.1978225673258575,0.021195275070627684,2.2582507017539246,-0.9935719202565414,0.021195275070627597,0.0052988187676568975,4.966613180381002e-05,1.2505501819539598e-05,0.0053367866861144106,0.0001263860624555881,3.182291587043942e-05
